S,g
0,-0.0285
6.413,-0.0285
12.408,-0.0727
18.28,-0.1085
24.242,0.0731
29.445,-0.0886
34.68,0.0762
39.404,-0.1533
43.826,0.0825
47.604,-0.0003
52.208,-0.0576
56.712,0.1392
62.66,-0.1636
68.99,-0.0229
75.572,-0.1176
88.425,0.039
94.099,-0.0608
99.436,0.0551
104.135,-0.09
109.815,-0.0944
114.754,0.1276
120.534,0.0464
126.266,0.0825
131.842,0.0224
137.202,0.0543
142.39,-0.1521
147.459,0.1975
154.108,0.0212
161.693,-0.092
170.192,0.1428
179.501,-0.0235
188.287,0.0916
197.096,0.0011
205.801,0.0901
215.514,-0.0557
224.953,0.1575
234.59,0.0799
245.051,0.0018
255.475,0.0806
265.885,0.0741
276.789,0.0356
287.814,0.0164
299.044,0.0282
310.705,0.0678
322.167,-0.0109
333.121,0.0452
343.823,0.0318
354.43,0.1027
365.663,0.0141
377.161,0.0882
388.703,0.067
400.597,-0.0248
411.811,-0.2615
424.169,0.3852
435.997,-0.1367
447.564,0.1545
459.307,0.0977
471.043,0.0373
482.566,0.0161
494.222,0.0142
505.7,0.0551
517.419,0.0173
529.205,0.0568
541.419,0.0123
553.546,0.0261
565.879,0.0403
578.582,0.0473
591.506,0.0073
604.844,0.0529
617.994,0.0002
631.496,-0.0381
645.231,0.0046
659.452,-0.0463
688.523,-0.0268
703.06,0.0737
717.35,-0.0147
731.651,-0.0138
746.067,-0.0653
759.26,-0.0459
772.785,0.0183
786.06,-0.0488
799.014,-0.0599
811.813,-0.0348
824.619,-0.0738
837.48,-0.0163
850.077,-0.0644
862.569,-0.1103
875.125,-0.0096
887.296,-0.0535
897.79,0.1017
906.954,-0.1443
914.807,-0.0992
921.308,0.1535
927.566,-0.1671
934.023,0.0108
941.261,-0.1996
947.017,0.0467
952.096,-0.0195
956.784,-0.2675
962.258,-0.0736
968.487,-0.1305
975.139,0.0409
981.992,0.1725
990.426,-0.0027
999.53,0.0289
1009.779,-0.0837
1020.347,-0.0366
1031.291,-0.0296
1041.934,0.0161
1052.664,-0.0374
1063.231,0.0637
1074.086,-0.0267
1084.62,-0.0147
1095.688,0.0737
1106.873,-0.0657
1118.741,0.0328
1130.915,0.0388
1143.444,0.0538
1156.368,-0.0362
1169.143,0.1237
1182.111,0.0164
1194.626,0.036
1207.031,0.0546
1219.26,0.0487
1232.128,-0.0239
1243.775,0.0143
1255.577,-0.0067
1276.684,0.1248
1285.158,0.0865
1292.8,-0.0442
1300.136,0.1394
1306.65,-0.125
1312.485,-0.0593
1317.69,0.2728
1322.232,0.3124
1326.377,0.386
1331.22,-0.2154
1335.889,0.2585
1341.409,-0.2033
1347.234,0.1638
