S,z
0,956.938
6.413,956.755
12.408,956.319
18.28,955.682
24.242,956.118
29.445,955.657
34.68,956.056
39.404,955.332
43.826,955.697
47.604,955.696
52.208,955.431
56.712,956.058
62.66,955.085
68.99,954.94
75.572,954.166
88.425,954.667
94.099,954.322
99.436,954.616
104.135,954.193
109.815,953.657
114.754,954.287
120.534,954.555
126.266,955.028
131.842,955.153
137.202,955.444
142.39,954.655
147.459,955.656
154.108,955.797
161.693,955.099
170.192,956.313
179.501,956.094
188.287,956.899
197.096,956.909
205.801,957.693
215.514,957.152
224.953,958.639
234.59,959.409
245.051,959.428
255.475,960.268
265.885,961.039
276.789,961.427
287.814,961.608
299.044,961.925
310.705,962.716
322.167,962.591
333.121,963.086
343.823,963.426
354.43,964.515
365.663,964.673
377.161,965.687
388.703,966.46
400.597,966.165
411.811,963.232
424.169,967.992
435.997,966.375
447.564,968.162
459.307,969.309
471.043,969.747
482.566,969.933
494.222,970.099
505.7,970.731
517.419,970.934
529.205,971.604
541.419,971.754
553.546,972.07
565.879,972.567
578.582,973.168
591.506,973.262
604.844,973.967
617.994,973.97
631.496,973.456
645.231,973.519
659.452,972.861
688.523,972.082
703.06,973.154
717.35,972.944
731.651,972.746
746.067,971.804
759.26,971.198
772.785,971.446
786.06,970.798
799.014,970.022
811.813,969.577
824.619,968.632
837.48,968.422
850.077,967.611
862.569,966.233
875.125,966.112
887.296,965.461
897.79,966.528
906.954,965.206
914.807,964.427
921.308,965.425
927.566,964.379
934.023,964.449
941.261,963.004
947.017,963.273
952.096,963.174
956.784,961.92
962.258,961.517
968.487,960.704
975.139,960.976
981.992,962.158
990.426,962.135
999.53,962.398
1009.779,961.54
1020.347,961.153
1031.291,960.829
1041.934,961
1052.664,960.599
1063.231,961.272
1074.086,960.982
1084.62,960.827
1095.688,961.643
1106.873,960.908
1118.741,961.297
1130.915,961.769
1143.444,962.443
1156.368,961.975
1169.143,963.555
1182.111,963.768
1194.626,964.219
1207.031,964.896
1219.26,965.492
1232.128,965.184
1243.775,965.351
1255.577,965.272
1276.684,967.907
1285.158,968.64
1292.8,968.302
1300.136,969.325
1306.65,968.511
1312.485,968.165
1317.69,969.585
1322.232,971.004
1326.377,972.604
1331.22,971.561
1335.889,972.768
1341.409,971.646
1347.234,972.6
1353.4,971.182
1359.022,972.152
1365.557,970.977
1372.614,971.455
1381.193,971.578
1389.758,971.936
1398.708,971.901
1407.138,972.86
1415.351,973.348
1423.661,974.222
1431.887,961.058
1441.808,964.341
1452.434,970.785
1462.784,972.558
1472.508,974.345
1483.089,974.667
1492.831,975.89
1502.617,977.297
1512.312,977.891
1522.539,978.971
1532.286,980.08
1542.386,980.144
1552.159,980.659
1561.842,981.279
1571.614,982.351
1581.317,983.316
1591.596,983.57
1601.873,985.246
1612.178,985.635
1622.748,986.62
1633.498,987.232
1644.097,988.808
1654.953,988.758
1665.512,991.245
1676.575,991.474
1687.347,992.95
1698.164,993.523
1709.481,993.665
1720.985,994.443
1732.118,995.42
1742.598,994.872
1753.15,994.923
1764.277,994.523
1774.753,995.219
1785.457,996.616
1796.82,996.358
1807.944,995.981
1819.488,996.42
1830.794,997.927
1842.406,998.485
1854,997.932
1865.683,998.202
1876.756,998.62
1888.356,999.726
1899.214,999.973
1910.203,999.659
1921.311,999.96
1932.096,1000.585
1943.072,1000.551
1954.589,1000.369
1966.198,1000.729
1977.643,1000.896
1988.629,1000.016
2000.416,999.791
2011.71,999.53
2023.841,998.283
2035.293,1000.012
2047.035,1000.84
2058.882,1000.448
2070.323,1000.492
2081.921,1000.299
2093.409,1000.644
2116.903,1000.39
2226.105,983.66
2235.735,987.622
2245.418,991.68
2255.33,995.605
2265.968,996.468
2276.95,997.425
2287.872,998.85
2298.379,1000.718
2310.282,1000.497
2321.201,1002.375
2332.28,1003.398
2343.679,1005.037
2355.351,1005.202
2366.514,1007.446
2378.255,1007.569
2389.681,1009.195
2400.66,1010.049
2412.027,1010.041
2422.686,1012.033
2434.019,1012.171
2445.077,1012.63
2456.55,1013.794
2467.853,1014.233
2479.105,1014.354
2628.446,1020.741
2639.996,1022.025
2651.696,1020.484
2663.137,1021.445
2674.988,1021.623
2709.456,1023.606
2720.844,1024.145
2732.598,1023.447
2744.095,1024.817
2766.657,1026.123
2777.798,1025.876
2788.689,1026.196
2799.545,1027.176
2810.96,1025.811
2863.859,1031.69
2874.453,1031.952
2884.67,1032.621
2895.208,1032.667
2905.81,1032.919
2916.989,1031.83
2928.245,1032.206
2940.168,1031.269
2952.631,1031.106
2965.217,1030.377
2977.821,1029.885
2989.881,1030.864
3001.933,1030.57
3013.659,1030.203
3025.699,1029.911
3038.26,1030.854
3050.246,1029.874
3062.18,1031.06
3074.206,1030.472
3085.188,1032.744
3098.074,1030.062
3109.934,1031.124
3121.766,1031.241
3133.409,1030.882
3144.987,1030.939
3156.121,1031.228
3168.065,1031.073
3179.725,1031.068
3191.417,1031.54
3202.883,1031.636
3214.464,1031.151
3226.54,1031.595
3238.286,1031.105
3250.283,1031.274
3262.361,1031.216
3274.128,1032.113
3286.055,1031.635
3297.449,1032.074
3366.227,1032.954
3377.376,1034.744
3388.999,1034.095
3400.37,1034.975
3412.38,1035.282
3424.73,1034.177
3436.586,1035.46
3448.31,1036.033
3472.1,1035.718
3484.388,1036.832
3496.323,1036.61
3508.539,1037.069
3520.91,1036.794
3533.072,1038.16
3545.329,1037.798
3558.072,1037.511
3570.525,1038.362
3582.747,1038.531
3594.38,1038.63
3606.716,1038.785
3618.874,1038.54
3630.843,1038.537
3642.236,1039.419
3654.259,1039.263
3665.666,1039.526
3676.499,1041.748
3687.791,1041.233
3698.324,1042.501
3708.893,1040.783
3719.735,1040.522
3730.472,1040.754
3741.44,1041.125
3752.534,1040.845
3763.719,1042.252
3774.709,1042.609
3786.112,1043.524
3797.621,1044.181
3809.221,1043.682
3820.233,1045.077
3831.551,1046.201
3842.52,1046.752
3853.666,1048.321
3865.031,1048.147
3876.397,1048.746
3887.515,1049.724
3899.451,1049.106
3910.85,1050.155
3922.027,1050.677
3933.87,1049.769
3945.714,1050.8
3957.703,1050.697
3969.503,1050.922
3982.017,1049.817
3993.55,1051.63
4006.007,1050.566
4017.985,1051.094
4030.349,1051.255
4042.684,1050.917
4055.067,1051.051
4067.835,1052.125
4080.117,1051.127
4091.993,1051.935
4104.328,1051.62
4116.007,1052.258
4127.964,1052.262
4139.61,1053.533
4151.219,1052.585
4162.744,1052.189
4174.47,1052.802
4186.096,1052.987
4197.681,1053.312
4209.17,1053.262
4315.548,1053.592
4327.292,1052.854
4338.69,1052.264
4349.893,1052.166
4361.436,1053.298
4372.591,1052.655
4383.712,1052.454
4395.302,1052.668
4406.031,1052.119
4417.197,1052.638
4428.117,1052.781
4439.538,1052.501
4450.563,1052.913
4461.331,1052.097
4472.203,1052.463
4483.131,1053.154
4494.291,1052.68
4504.927,1052.637
4516.081,1052.866
4527.152,1052.328
4537.921,1053.259
4548.641,1053.678
4559.454,1053.937
4570.676,1052.941
4581.413,1053.948
4592.386,1054.68
4603.656,1053.962
4614.93,1053.966
4625.724,1054.181
4637.117,1053.731
4648.172,1054.587
4659.326,1054.407
4671.187,1053.803
4682.067,1054.921
4693.323,1054.774
4704.342,1055.383
4715.449,1056.157
4726.662,1056.001
4737.599,1056.332
4748.655,1056.69
4759.334,1057.636
4770.774,1058.538
4781.253,1059.029
4791.877,1058.831
4801.804,1059.36
4811.421,1059.977
4820.879,1059.629
4829.786,1060.31
4838.742,1061.286
4847.693,1062.105
4857.302,1061.499
4866.827,1061.885
4877.055,1063.032
4886.903,1063.314
4897.245,1063.131
4907.766,1062.846
4918.742,1063.406
4930.504,1061.954
4942.353,1060.793
4954.312,1060.949
4966.643,1060.046
4978.494,1060.057
4990.112,1059.681
5001.716,1059.223
5013.574,1059.614
5025.202,1060.142
5037.052,1059.484
5048.617,1060.385
5059.851,1059.991
5070.98,1060.394
5082.106,1059.902
5093.099,1059.835
5104.252,1059.368
5115.142,1059.261
5240.933,1059.47
5251.015,1060.339
5262.079,1059.094
5272.835,1059.302
5283.612,1059.189
5295.302,1059.19
5306.532,1059.33
5318.299,1058.957
5329.965,1058.019
5341.116,1058.425
5352.762,1058.587
5364.705,1057.367
5375.812,1057.932
5387.146,1057.992
5398.414,1058.004
5409.966,1057.642
5420.483,1058.79
5432.257,1057.579
5443.217,1058.231
5454.705,1058.856
5466.719,1057.727
5478.455,1057.628
5489.748,1057.535
5501.371,1057.148
5512.175,1057.059
5523.141,1057.017
5534.724,1056.402
5545.776,1056.768
5556.429,1056.641
5567.311,1056.503
5578.162,1057.06
5588.797,1057.238
5599.078,1057.157
5609.151,1058.066
5619.646,1057.829
5629.473,1058.332
5639.543,1058.401
5649.684,1058.413
5660.105,1058.347
5670.178,1058.936
5680.815,1058.887
5692.111,1058.508
5703.495,1057.929
5714.12,1058.637
5725.373,1059.055
5736.615,1058.607
5747.51,1059.802
5758.683,1058.1
5768.621,1059.076
5778.721,1058.649
5788.69,1058.291
5798.882,1058.437
5809.194,1057.179
5819.207,1057.945
5830.089,1057.663
5841.072,1058.34
5851.832,1057.534
5862.334,1058.392
5873.303,1058.375
5883.339,1058.26
5893.58,1060.535
5903.425,1061.14
5933.568,1063.066
5943.285,1063.327
5953.389,1063.946
5963.613,1064.657
5973.924,1064.57
5984.18,1065.456
5994.307,1066.959
6004.374,1066.88
6014.499,1067.552
6024.252,1068.254
6034.791,1068.704
6045.038,1069.609
6054.93,1070.604
6065.486,1070.184
6076.012,1071.178
6086.577,1071.387
6097.294,1072.493
6108.375,1072.197
6119.379,1072.533
6130.775,1072.497
6142.014,1071.939
6153.093,1073.276
6164.738,1073.1
6176.466,1073.313
6188.495,1074.281
6200.643,1074.398
6212.846,1074.885
6225.09,1074.386
6236.637,1075.365
6248.379,1075.274
6260.702,1075.847
6272.461,1075.004
6283.903,1075.921
6295.337,1076.299
6307.242,1075.447
6318.845,1074.915
6330.666,1075.172
6342.599,1075.672
6354.477,1075.186
6366.355,1075.71
6378.388,1075.111
6390.112,1075.22
6401.918,1075.133
6414.11,1075.039
6425.251,1076.197
6438.076,1074.708
6450.059,1075.097
6462.169,1074.889
6474.046,1075.201
6485.921,1074.874
6498.067,1075.27
6509.387,1075.667
6521.043,1076.296
6532.732,1075.617
6543.751,1076.369
6555.704,1076.007
6566.858,1076.75
6578.265,1076.666
6589.794,1076.984
6601.312,1077.206
6612.964,1076.628
6624.335,1078.054
6635.623,1077.993
6646.884,1076.595
6658.22,1079.138
6669.418,1079.086
6681.241,1079.842
6692.615,1080.399
6702.953,1081.799
6713.695,1082.977
6723.706,1083.153
6733.867,1084.535
6743.98,1084.542
6754.286,1084.715
6764.542,1085.873
6775.006,1087.315
6785.602,1087.947
6796.402,1088.973
6807.137,1090.688
