Reconstrucción de la M-697 (Track Leika): perfil longitudinal
          SE           ZE           PE            L          K
    0,000000   906,260000    -0,004949   134,575000     2312,3 VERTICAL CURVE 
  134,575000   909,509954     0,053249   174,358000          - GRADE 
  308,933000   918,794341     0,053249   448,033000    -5328,4 VERTICAL CURVE 
  756,966000   923,815504    -0,030835  1087,291000          - GRADE 
 1844,257000   890,289172    -0,030835   142,955000     6081,6 VERTICAL CURVE 
 1987,212000   887,561356    -0,007329   192,100000          - GRADE 
 2179,312000   886,153543    -0,007329   184,296000    -6209,1 VERTICAL CURVE 
 2363,608000   882,067812    -0,037010    58,676000    -6091,0 VERTICAL CURVE 
 2422,284000   879,613577    -0,046644    40,660000    -6953,1 VERTICAL CURVE 
 2462,944000   877,598165    -0,052491    85,349000          - GRADE 
 2548,293000   873,118086    -0,052491   345,729000     6874,4 VERTICAL CURVE 
 2894,022000   863,664030    -0,002199  1040,259000          - GRADE 
 3934,281000   861,376229    -0,002199   174,898000    -5340,3 VERTICAL CURVE 
 4109,179000   858,127554    -0,034950   245,787000          - GRADE 
 4354,966000   849,537270    -0,034950   178,578000    -6523,2 VERTICAL CURVE 
 4533,544000   840,851590    -0,062326   286,965000     4775,1 VERTICAL CURVE 
 4820,509000   831,588953    -0,002230    71,042000     4990,3 VERTICAL CURVE 
 4891,551000   831,936215     0,012006   184,246000     5419,0 VERTICAL CURVE 
 5075,797000   837,280492     0,046006   147,041000          - GRADE 
 5222,838000   844,045296     0,046006    59,909000    -2549,6 VERTICAL CURVE 
 5282,747000   846,097623     0,022509   673,677000          - GRADE 
 5956,424000   861,261119     0,022509   191,516000    -7482,0 VERTICAL CURVE 
 6147,940000   863,120758    -0,003088   542,126000          - GRADE 
 6690,066000   861,446478    -0,003088    56,517000     3598,0 VERTICAL CURVE 
 6746,583000   861,715817     0,012620   138,425000     4701,8 VERTICAL CURVE 
 6885,008000   865,500368     0,042061   206,938000    -6227,7 VERTICAL CURVE 
 7091,946000   870,766147     0,008832    56,156000    -3945,2 VERTICAL CURVE 
 7148,102000   870,862440    -0,005402    58,655000    -2952,4 VERTICAL CURVE 
 7206,757000   869,962925    -0,025269   244,332000          - GRADE 
 7451,089000   863,788875    -0,025269    80,699000     5477,5 VERTICAL CURVE 
 7531,788000   862,344140    -0,010536   100,629000     4096,6 VERTICAL CURVE 
 7632,417000   862,519804     0,014028   179,295000          - GRADE 
 7811,712000   865,034901     0,014028    39,714000    -5755,8 VERTICAL CURVE 
 7851,426000   865,454987     0,007128  1825,226000          - GRADE 
 9676,652000   878,464960     0,007128   142,699000     3953,4 VERTICAL CURVE 
 9819,351000   882,057473     0,043223   465,749000          - GRADE 
10285,100000   902,188569     0,043223   207,990000    -8157,5 VERTICAL CURVE 
10493,090000   908,526991     0,017726    43,322000    -2214,4 VERTICAL CURVE 
10536,412000   908,871150    -0,001838   585,489000          - GRADE 
11121,901000   907,795131    -0,001838    44,496000    -6149,8 VERTICAL CURVE 
11166,397000   907,552385    -0,009073    42,538000     2433,7 VERTICAL CURVE 
11208,935000   907,538185     0,008405  1449,144000          - GRADE 
12658,079000   919,718910     0,008405    95,245000     2608,0 VERTICAL CURVE 
12753,324000   922,258683     0,044926    92,180000    -2748,8 VERTICAL CURVE 
12845,504000   924,854315     0,011391   172,206000    -5020,8 VERTICAL CURVE 
13017,710000   923,862656    -0,022908   604,887000          - GRADE 
13622,597000   910,006007    -0,022908    58,912000    -3838,8 VERTICAL CURVE 
13681,509000   908,204415    -0,038254    39,077000     2459,0 VERTICAL CURVE 
13720,586000   907,020040    -0,022363    38,411000     2681,6 VERTICAL CURVE 
13758,997000   906,436148    -0,008039    72,587000          - GRADE 
13831,584000   905,852612    -0,008039    50,070000     1861,8 VERTICAL CURVE 
13881,654000   906,123353     0,018854   198,924000          - GRADE 

