s,g
0.000,0.067
0.060,0.067
0.123,-0.063
0.195,0.014
0.279,-0.048
0.366,0.092
0.459,-0.054
0.558,-0.01
0.666,-0.019
0.782,-0.017
0.903,0.041
1.030,-0.039
1.167,0.044
1.303,-0.022
1.446,0.063
1.592,-0.027
1.743,-0.013
1.900,0.064
2.054,0.006
2.196,0.113
2.347,0.013
2.497,0.04
2.672,-0.006
2.851,0.045
3.047,-0.005
3.266,-0.037
3.504,-0.008
3.758,-0.028
4.033,0.065
4.327,-0.007
4.647,-0.006
4.969,0.025
5.300,0.063
5.622,0
5.947,0.012
6.271,-0.009
6.602,0
6.941,0.021
7.289,0.023
7.630,0.003
7.992,-0.022
8.352,0.006
8.716,-0.008
9.089,0.005
9.461,0.022
9.839,-0.029
10.232,0.104
10.616,-0.049
11.007,0.01
11.403,-0.078
11.804,0.062
12.206,-0.022
12.622,0.036
13.032,-0.127
13.451,0.06
13.865,-0.072
14.310,0.079
14.749,0.009
15.192,-0.016
15.632,-0.043
16.066,0.007
16.505,0.016
16.945,0.025
17.378,0.016
17.807,-0.019
18.246,0.034
18.675,-0.03
19.110,0.051
19.545,0.021
19.975,0.009
20.406,-0.081
20.832,0.016
21.258,0.009
21.684,-0.005
22.117,0.002
22.544,0.033
22.980,-0.03
23.414,-0.03
23.860,0.043
24.308,-0.018
24.761,-0.018
25.221,0.028
25.677,-0.007
26.143,-0.021
26.608,-0.013
27.090,-0.002
27.577,0.023
28.066,0.008
28.565,-0.028
29.055,0.014
29.556,0.012
30.057,0.028
30.577,-0.008
31.104,-0.087
31.611,0.059
32.129,0.029
32.658,-0.045
33.183,-0.015
33.723,0.015
34.259,-0.015
34.812,0.011
35.355,-0.011
35.893,0.058
36.452,-0.029
37.000,-0.002
37.565,-0.044
38.129,0.016
38.689,-0.016
39.254,0.03
39.834,-0.019
40.401,0.034
40.971,-0.007
41.562,-0.005
42.125,-0.004
42.719,0.032
43.308,-0.053
43.910,0.032
44.508,-0.017
45.056,-0.124
45.725,0.124
46.344,-0.042
46.972,0.013
47.597,0.003
48.232,-0.002
48.817,-0.094
49.517,0.071
50.165,-0.014
50.669,0.2
51.532,-0.24
52.245,0.194
52.910,-0.027
53.576,-0.02
54.249,-0.006
54.979,0.041
55.673,-0.042
56.353,0.032
57.065,-0.037
57.723,-0.052
58.480,0.034
59.177,-0.006
59.846,-0.06
60.596,0.091
61.295,-0.082
62.050,0.053
62.757,-0.071
63.477,0.046
64.204,-0.029
64.919,0.035
65.640,-0.024
66.371,0.021
67.091,-0.024
67.829,0.031
68.564,0.005
69.293,-0.026
70.014,-0.021
70.755,-0.007
71.489,-0.026
72.239,-0.007
72.976,0.008
73.745,-0.031
74.400,0.085
75.203,-0.026
75.965,0.001
76.716,-0.023
77.465,0.019
78.196,-0.011
78.943,-0.032
79.713,-0.01
80.477,-0.013
81.235,-0.008
81.981,0.003
82.735,-0.041
83.505,0.019
84.277,-0.005
85.041,-0.01
85.817,-0.014
86.564,0.001
87.329,0.018
88.094,-0.042
88.869,0.014
89.621,-0.003
90.395,-0.016
91.151,-0.005
91.899,-0.013
92.666,0.009
93.441,-0.012
94.197,0.004
94.960,-0.001
95.713,0.001
96.460,0.008
97.239,-0.055
98.007,0.022
98.776,-0.014
99.545,-0.01
100.323,0.008
101.118,-0.028
101.900,-0.004
102.671,-0.029
103.472,-0.005
104.260,-0.009
105.036,0.013
105.845,-0.047
106.650,0.006
107.455,-0.005
108.257,-0.007
109.067,0.005
109.870,-0.032
110.680,0.048
111.514,-0.034
112.328,-0.005
113.147,0.006
113.962,-0.013
114.769,0.024
115.603,-0.024
116.422,0.005
117.250,0
118.080,-0.008
118.910,-0.004
119.741,0.01
120.576,-0.014
121.413,-0.001
122.255,0.023
123.084,-0.03
123.936,0.016
124.778,-0.004
125.621,-0.002
126.462,-0.017
127.306,-0.005
128.162,0.019
129.032,0.031
129.870,-0.068
130.726,0.004
131.584,-0.015
132.453,0.013
133.312,-0.001
134.175,-0.038
135.045,0.024
135.911,-0.033
136.794,0.039
137.659,-0.03
138.538,-0.007
139.422,0.001
140.295,-0.003
141.177,-0.007
142.065,-0.001
142.959,-0.016
143.860,-0.01
144.752,-0.02
145.646,-0.01
146.544,-0.02
147.450,-0.01
148.359,-0.023
149.273,-0.018
150.179,-0.028
151.082,-0.009
151.982,-0.012
152.884,0.001
153.794,0.012
154.704,0.003
155.624,0.002
156.539,0.024
157.461,-0.016
158.381,-0.009
159.311,0.006
160.230,-0.039
161.139,0.063
162.055,-0.056
162.972,-0.014
163.898,0.022
164.834,-0.018
165.757,0.005
166.689,-0.014
167.601,0.005
168.527,0.001
169.450,-0.007
170.408,0.03
171.316,-0.031
172.263,-0.025
173.200,0.01
174.152,-0.006
175.100,0.054
176.025,-0.058
176.990,0.056
177.949,-0.09
178.902,0.066
179.854,-0.025
180.805,-0.023
181.768,-0.097
182.732,0.013
183.686,-0.039
184.626,-0.016
185.572,0.012
186.533,0.074
187.487,-0.014
188.442,-0.002
189.388,-0.016
190.316,0.001
191.228,-0.042
192.163,-0.032
193.087,-0.009
194.008,-0.002
194.927,0.013
195.860,-0.025
196.768,0.007
197.674,-0.029
198.568,-0.007
199.468,-0.022
200.378,0.007
201.285,-0.011
202.187,-0.003
203.095,0.015
204.014,-0.004
204.940,-0.013
205.847,-0.007
206.747,-0.001
207.660,-0.01
208.572,0.005
209.486,0.014
210.399,0.007
211.323,0.012
212.248,0.015
213.177,0.003
214.106,0.003
215.032,0
215.959,-0.006
216.877,0.001
217.800,-0.005
218.727,0.004
219.657,-0.004
220.593,-0.001
221.531,-0.01
222.465,-0.001
223.390,-0.001
224.309,-0.007
225.235,0.008
226.173,-0.001
227.116,-0.014
228.050,-0.01
228.976,-0.014
229.891,-0.011
230.818,-0.008
231.755,0.007
232.694,-0.013
233.625,-0.016
234.550,-0.017
235.478,-0.005
236.412,-0.002
237.337,-0.013
238.252,-0.005
239.176,-0.006
240.111,-0.005
241.045,-0.009
241.973,-0.011
242.893,-0.012
243.814,-0.005
244.743,-0.01
245.676,-0.011
246.608,-0.009
247.530,-0.015
248.451,-0.01
249.380,-0.043
250.315,0
251.246,-0.01
252.171,-0.005
253.094,-0.007
254.021,-0.003
254.952,0.008
255.887,-0.001
256.813,0.001
257.746,-0.003
258.678,0
259.614,0.003
