s,Z
0,589.274
0.06,589.278
0.123,589.274
0.195,589.275
0.279,589.271
0.366,589.279
0.459,589.274
0.558,589.273
0.666,589.271
0.782,589.269
0.903,589.274
1.03,589.269
1.167,589.275
1.303,589.272
1.446,589.281
1.592,589.277
1.743,589.275
1.9,589.285
2.054,589.286
2.196,589.302
2.347,589.304
2.497,589.31
2.672,589.309
2.851,589.317
3.047,589.316
3.266,589.308
3.504,589.306
3.758,589.299
4.033,589.317
4.327,589.315
4.647,589.313
4.969,589.321
5.3,589.342
5.622,589.342
5.947,589.346
6.271,589.343
6.602,589.343
6.941,589.35
7.289,589.358
7.63,589.359
7.992,589.351
8.352,589.353
8.716,589.35
9.089,589.352
9.461,589.36
9.839,589.349
10.232,589.39
10.616,589.371
11.007,589.375
11.403,589.344
11.804,589.369
12.206,589.36
12.622,589.375
13.032,589.323
13.451,589.348
13.865,589.318
14.31,589.353
14.749,589.357
15.192,589.35
15.632,589.331
16.066,589.334
16.505,589.341
16.945,589.352
17.378,589.359
17.807,589.351
18.246,589.366
18.675,589.353
19.11,589.375
19.545,589.384
19.975,589.388
20.406,589.353
20.832,589.36
21.258,589.364
21.684,589.362
22.117,589.363
22.544,589.377
22.98,589.364
23.414,589.351
23.86,589.37
24.308,589.362
24.761,589.354
25.221,589.367
25.677,589.364
26.143,589.354
26.608,589.348
27.09,589.347
27.577,589.358
28.066,589.362
28.565,589.348
29.055,589.355
29.556,589.361
30.057,589.375
30.577,589.371
31.104,589.325
31.611,589.355
32.129,589.37
32.658,589.346
33.183,589.338
33.723,589.346
34.259,589.338
34.812,589.344
35.355,589.338
35.893,589.369
36.452,589.353
37,589.352
37.565,589.327
38.129,589.336
38.689,589.327
39.254,589.344
39.834,589.333
40.401,589.352
40.971,589.348
41.562,589.345
42.125,589.343
42.719,589.362
43.308,589.331
43.91,589.35
44.508,589.34
45.056,589.272
45.725,589.355
46.344,589.329
46.972,589.337
47.597,589.339
48.232,589.338
48.817,589.283
49.517,589.333
50.165,589.324
50.669,589.425
51.532,589.218
52.245,589.356
52.91,589.338
53.576,589.325
54.249,589.321
54.979,589.351
55.673,589.322
56.353,589.344
57.065,589.318
57.723,589.284
58.48,589.31
59.177,589.306
59.846,589.266
60.596,589.334
61.295,589.277
62.05,589.317
62.757,589.267
63.477,589.3
64.204,589.279
64.919,589.304
65.64,589.287
66.371,589.302
67.091,589.285
67.829,589.308
68.564,589.312
69.293,589.293
70.014,589.278
70.755,589.273
71.489,589.254
72.239,589.249
72.976,589.255
73.745,589.231
74.4,589.287
75.203,589.266
75.965,589.267
76.716,589.25
77.465,589.264
78.196,589.256
78.943,589.232
79.713,589.224
80.477,589.214
81.235,589.208
81.981,589.21
82.735,589.179
83.505,589.194
84.277,589.19
85.041,589.182
85.817,589.171
86.564,589.172
87.329,589.186
88.094,589.154
88.869,589.165
89.621,589.163
90.395,589.151
91.151,589.147
91.899,589.137
92.666,589.144
93.441,589.135
94.197,589.138
94.96,589.137
95.713,589.138
96.46,589.144
97.239,589.101
98.007,589.118
98.776,589.107
99.545,589.099
100.323,589.105
101.118,589.083
101.9,589.08
102.671,589.058
103.472,589.054
104.26,589.047
105.036,589.057
105.845,589.019
106.65,589.024
107.455,589.02
108.257,589.014
109.067,589.018
109.87,588.992
110.68,589.031
111.514,589.003
112.328,588.999
113.147,589.004
113.962,588.993
114.769,589.012
115.603,588.992
116.422,588.996
117.25,588.996
118.08,588.989
118.91,588.986
119.741,588.994
120.576,588.982
121.413,588.981
122.255,589
123.084,588.975
123.936,588.989
124.778,588.986
125.621,588.984
126.462,588.97
127.306,588.966
128.162,588.982
129.032,589.009
129.87,588.952
130.726,588.955
131.584,588.942
132.453,588.953
133.312,588.952
134.175,588.919
135.045,588.94
135.911,588.911
136.794,588.945
137.659,588.919
138.538,588.913
139.422,588.914
140.295,588.911
141.177,588.905
142.065,588.904
142.959,588.89
143.86,588.881
144.752,588.863
145.646,588.854
146.544,588.836
147.45,588.827
148.359,588.806
149.273,588.79
150.179,588.765
151.082,588.757
151.982,588.746
152.884,588.747
153.794,588.758
154.704,588.761
155.624,588.763
156.539,588.785
157.461,588.77
158.381,588.762
159.311,588.768
160.23,588.732
161.139,588.789
162.055,588.738
162.972,588.725
163.898,588.745
164.834,588.728
165.757,588.733
166.689,588.72
167.601,588.725
168.527,588.726
169.45,588.72
170.408,588.749
171.316,588.721
172.263,588.697
173.2,588.706
174.152,588.7
175.1,588.751
176.025,588.697
176.99,588.751
177.949,588.665
178.902,588.728
179.854,588.704
180.805,588.682
181.768,588.589
182.732,588.602
183.686,588.565
184.626,588.55
185.572,588.561
186.533,588.632
187.487,588.619
188.442,588.617
189.388,588.602
190.316,588.603
191.228,588.565
192.163,588.535
193.087,588.527
194.008,588.525
194.927,588.537
195.86,588.514
196.768,588.52
197.674,588.494
198.568,588.488
199.468,588.468
200.378,588.474
201.285,588.464
202.187,588.461
203.095,588.475
204.014,588.471
204.94,588.459
205.847,588.453
206.747,588.452
207.66,588.443
208.572,588.448
209.486,588.461
210.399,588.467
211.323,588.478
212.248,588.492
213.177,588.495
214.106,588.498
215.032,588.498
215.959,588.492
216.877,588.493
217.8,588.488
218.727,588.492
219.657,588.488
220.593,588.487
221.531,588.478
222.465,588.477
223.39,588.476
224.309,588.47
225.235,588.477
226.173,588.476
227.116,588.463
228.05,588.454
228.976,588.441
229.891,588.431
230.818,588.424
231.755,588.431
232.694,588.419
233.625,588.404
234.55,588.388
235.478,588.383
236.412,588.381
237.337,588.369
238.252,588.364
239.176,588.358
240.111,588.353
241.045,588.345
241.973,588.335
242.893,588.324
243.814,588.319
244.743,588.31
245.676,588.3
246.608,588.292
247.53,588.278
248.451,588.269
249.38,588.229
250.315,588.229
251.246,588.22
252.171,588.215
253.094,588.209
254.021,588.206
254.952,588.213
255.887,588.212
256.813,588.213
257.746,588.21
258.678,588.21
259.614,588.213
260.545,588.203
261.479,588.209
262.412,588.208
263.357,588.201
264.299,588.201
265.233,588.188
266.167,588.179
267.109,588.172
268.05,588.178
268.992,588.171
269.935,588.169
270.887,588.167
271.833,588.158
272.779,588.157
273.719,588.149
274.664,588.145
275.612,588.143
276.558,588.143
277.506,588.122
278.451,588.118
279.39,588.118
280.32,588.113
281.258,588.112
282.209,588.113
283.149,588.104
284.088,588.092
285.021,588.086
285.95,588.076
286.881,588.077
287.809,588.075
288.74,588.07
289.672,588.07
290.6,588.069
291.524,588.057
292.453,588.053
293.383,588.06
294.305,588.043
295.226,588.037
296.146,588.048
297.053,588.039
297.969,588.035
298.894,588.039
299.8,588.089
300.725,588.042
301.643,588.029
302.558,588.023
303.475,588.016
304.389,588.006
305.301,588.005
306.214,588.004
307.131,588.005
308.051,587.996
308.976,588.006
309.887,587.998
310.799,587.991
311.725,587.993
312.643,587.991
313.556,587.984
314.474,587.979
315.395,587.984
316.32,587.977
317.234,587.964
318.156,587.975
319.08,587.963
320.006,587.958
320.93,587.957
321.855,587.953
322.787,587.949
323.718,587.935
324.643,587.923
325.563,587.912
326.483,587.904
327.415,587.907
328.345,587.9
