Reconstrucción de la M-697 (Track Leika): perfil longitudinal
          SE           ZE           PE            L          K
   10,000000   727,000000     0,036838   169,320000    48159,9 VERTICAL CURVE 
  179,320000   733,535138     0,040354   139,320000    -3316,5 VERTICAL CURVE 
  318,640000   736,231026    -0,001654    69,110000    -1649,2 VERTICAL CURVE 
  387,750000   734,668743    -0,043558   419,270000     8225,5 VERTICAL CURVE 
  807,020000   727,091777     0,007414   189,920000    -4325,1 VERTICAL CURVE 
  996,940000   724,330050    -0,036497   129,560000     5546,0 VERTICAL CURVE 
 1126,500000   721,114776    -0,013136   109,470000     9079,7 VERTICAL CURVE 
 1235,970000   720,336647    -0,001080   130,000000    -5302,6 VERTICAL CURVE 
 1365,970000   718,602717    -0,025596   129,740000     8860,5 VERTICAL CURVE 
 1495,710000   716,231755    -0,010953   198,970000    15338,2 VERTICAL CURVE 
 1694,680000   715,342882     0,002019    99,870000   -17301,0 VERTICAL CURVE 
 1794,550000   715,256241    -0,003754   129,920000    10898,8 VERTICAL CURVE 
 1924,470000   715,542914     0,008167    89,860000     5223,0 VERTICAL CURVE 
 2014,330000   717,049792     0,025372   219,520000    -9946,8 VERTICAL CURVE 
 2233,850000   720,197008     0,003302    99,100000          - GRADE 
 2332,950000   720,524246     0,003302   269,370000     5494,2 VERTICAL CURVE 
 2602,320000   728,017100     0,052330   219,980000   -10785,1 VERTICAL CURVE 
 2822,300000   737,285289     0,031934   189,190000     6501,1 VERTICAL CURVE 
 3011,490000   746,079649     0,061035    79,500000    24322,1 VERTICAL CURVE 
 3090,990000   751,061857     0,064304    70,450000          - GRADE 
 3161,440000   755,592046     0,064304    39,670000   -32728,9 VERTICAL CURVE 
 3201,110000   758,118928     0,063092    19,410000   -11897,2 VERTICAL CURVE 
 3220,520000   759,327701     0,061460    89,730000   -17449,0 VERTICAL CURVE 
 3310,250000   764,611797     0,056318    80,720000   -38678,7 VERTICAL CURVE 
 3390,970000   769,073528     0,054231   268,690000          - GRADE 
 3659,660000   783,644776     0,054231   149,700000     7859,5 VERTICAL CURVE 
 3809,360000   793,188790     0,073278    99,850000    -4282,9 VERTICAL CURVE 
 3909,210000   799,341658     0,049964   200,300000    -4597,0 VERTICAL CURVE 
 4109,510000   804,985822     0,006393   228,970000    -6178,6 VERTICAL CURVE 
 4338,480000   802,206943    -0,030666    70,150000    -4152,8 VERTICAL CURVE 
 4408,630000   799,463256    -0,047558    79,020000    -9916,0 VERTICAL CURVE 
 4487,650000   795,390383    -0,055527    89,850000    -3924,1 VERTICAL CURVE 
 4577,500000   789,372666    -0,078424   129,740000   -15396,9 VERTICAL CURVE 
 4707,240000   778,651378    -0,086850    79,390000     2135,8 VERTICAL CURVE 
 4786,630000   773,231873    -0,049679   130,260000     2988,8 VERTICAL CURVE 
 4916,890000   769,599269    -0,006096   389,510000          - GRADE 
 5306,400000   767,224841    -0,006096   218,690000     6081,2 VERTICAL CURVE 
 5525,090000   769,823950     0,029866   139,960000    -7871,6 VERTICAL CURVE 
 5665,050000   772,759687     0,012085    69,630000   -22877,6 VERTICAL CURVE 
 5734,680000   773,495228     0,009042    30,130000   -12445,3 VERTICAL CURVE 
 5764,810000   773,731184     0,006621   119,800000   -20216,6 VERTICAL CURVE 
 5884,610000   774,169396     0,000695   179,480000     5260,9 VERTICAL CURVE 
 6064,090000   777,355663     0,034811   120,040000          - GRADE 
 6184,130000   781,534326     0,034811   149,990000   -18172,5 VERTICAL CURVE 
 6334,120000   786,136582     0,026557   139,530000   -39388,0 VERTICAL CURVE 
 6473,650000   789,594930     0,023014   169,030000   -11987,3 VERTICAL CURVE 
 6642,680000   792,293345     0,008914   220,060000    12727,4 VERTICAL CURVE 
 6862,740000   796,157360     0,026204   110,180000     8422,2 VERTICAL CURVE 
 6972,920000   799,765213     0,039286   308,650000          - GRADE 
 7281,570000   811,890866     0,039286   129,660000     5380,3 VERTICAL CURVE 
 7411,230000   818,547055     0,063385   149,370000     8404,4 VERTICAL CURVE 
 7560,600000   829,342293     0,081158   299,570000    -3856,8 VERTICAL CURVE 

