              L,     Z,     P
0,917.6,-2.8074
0.498,917.586,-2.8074
1,917.572,-2.8146
2,917.544,-2.8289
3,917.515,-2.8431
4,917.487,-2.8574
5,917.458,-2.8717
6,917.429,-2.886
7,917.4,-2.9003
8,917.371,-2.9146
9,917.342,-2.9289
10,917.313,-2.9431
11,917.283,-2.9574
12,917.254,-2.9717
13,917.224,-2.986
14,917.194,-3.0003
15,917.164,-3.0146
16,917.134,-3.0289
17,917.103,-3.0431
18,917.073,-3.0574
19,917.042,-3.0717
20,917.011,-3.086
21,916.98,-3.1003
22,916.949,-3.1146
23,916.918,-3.1289
24,916.887,-3.1431
25,916.855,-3.1574
26,916.824,-3.1717
27,916.792,-3.186
28,916.76,-3.2003
29,916.728,-3.2146
30,916.696,-3.2289
31,916.663,-3.2431
32,916.631,-3.2574
33,916.598,-3.2717
34,916.565,-3.286
35,916.532,-3.3003
36,916.499,-3.3146
37,916.466,-3.3289
38,916.433,-3.3431
39,916.399,-3.3574
40,916.366,-3.3717
41,916.332,-3.386
42,916.298,-3.4003
43,916.264,-3.4146
44,916.23,-3.4289
45,916.195,-3.4431
46,916.161,-3.4574
47,916.126,-3.4717
48,916.091,-3.486
49,916.056,-3.5003
50,916.021,-3.5146
51,915.986,-3.5289
52,915.951,-3.5431
53,915.915,-3.5574
53.502,915.897,-3.5646
54,915.88,-3.5646
55,915.844,-3.5646
56,915.808,-3.5646
57,915.773,-3.5646
58,915.737,-3.5646
59,915.701,-3.5646
60,915.666,-3.5646
61,915.63,-3.5646
62,915.594,-3.5646
63,915.559,-3.5646
64,915.523,-3.5646
65,915.487,-3.5646
66,915.452,-3.5646
67,915.416,-3.5646
68,915.381,-3.5646
69,915.345,-3.5646
70,915.309,-3.5646
71,915.274,-3.5646
72,915.238,-3.5646
73,915.202,-3.5646
74,915.167,-3.5646
75,915.131,-3.5646
76,915.095,-3.5646
77,915.06,-3.5646
78,915.024,-3.5646
79,914.988,-3.5646
80,914.953,-3.5646
81,914.917,-3.5646
82,914.881,-3.5646
83,914.846,-3.5646
84,914.81,-3.5646
85,914.775,-3.5646
86,914.739,-3.5646
87,914.703,-3.5646
88,914.668,-3.5646
89,914.632,-3.5646
90,914.596,-3.5646
91,914.561,-3.5646
92,914.525,-3.5646
93,914.489,-3.5646
94,914.454,-3.5646
95,914.418,-3.5646
96,914.382,-3.5646
97,914.347,-3.5646
98,914.311,-3.5646
99,914.275,-3.5646
100,914.24,-3.5646
101,914.204,-3.5646
102,914.169,-3.5646
103,914.133,-3.5646
104,914.097,-3.5646
105,914.062,-3.5646
106,914.026,-3.5646
107,913.99,-3.5646
108,913.955,-3.5646
109,913.919,-3.5646
110,913.883,-3.5646
111,913.848,-3.5646
111.385,913.834,-3.5646
112,913.812,-3.5523
113,913.777,-3.5323
114,913.741,-3.5123
115,913.706,-3.4923
116,913.672,-3.4723
117,913.637,-3.4523
118,913.603,-3.4323
119,913.568,-3.4123
120,913.534,-3.3923
121,913.501,-3.3723
122,913.467,-3.3523
123,913.433,-3.3323
124,913.4,-3.3123
125,913.367,-3.2923
126,913.334,-3.2723
127,913.302,-3.2523
128,913.269,-3.2323
129,913.237,-3.2123
130,913.205,-3.1923
131,913.173,-3.1723
132,913.142,-3.1523
133,913.11,-3.1323
134,913.079,-3.1123
135,913.048,-3.0923
