Reconstrucción de la geometría del perfil longitudinal: M-607 - Axis running RoadRecorder over an smartphone
--------------------------------------------------------------------------
--------------------------------------------------------------------------
Longitud del track (m) : 11976.4
Número de puntos       : 496
Separación media   (m) : 24.19
--------------------------------------------------------------------------
Rectas Interpolación (Puntos) : 4
Rectas Interpolación (m)      : 96.78
Pendiente límite              : 1.0E-4
--------------------------------------------------------------------------
Número de alineaciones : 48
    Grades             : 19
    Vertical curves    : 29
    Cuasi grades       : 0
    Short alignments   : 5
    Two grades         : 0
--------------------------------------------------------------------------
Valor absoluto del Error (media)  (m)   : 1.3024764972195708
Valor absoluto del Error (máximo) (m)   : 6.594585294750686
Valor absoluto del Error (varianza)     : 1.5839253356116216
Error Cuadrático Medio ECM              : 3.2737700186414656
--------------------------------------------------------------------------

          SE           ZE           PE            L          K
----------------------------------------------------------------------------------
   20,768378   966,585000    -0,016874  2432,711327          - GRADE 
 2453,479705   925,534687    -0,016874    97,990832    -4129,2 VERTICAL CURVE 
 2551,470537   922,718449    -0,040605   153,170536          - GRADE 
 2704,641073   916,498910    -0,040605   153,599557     4970,5 VERTICAL CURVE 
 2858,240630   912,635226    -0,009703   159,949387     6694,6 VERTICAL CURVE 
 3018,190017   912,993990     0,014189   112,281780     6852,8 VERTICAL CURVE 
 3130,471797   915,507033     0,030574   338,064477          - GRADE 
 3468,536274   925,843001     0,030574    63,559344    -4149,5 VERTICAL CURVE 
 3532,095618   927,299480     0,015257   167,306907          - GRADE 
 3699,402525   929,852011     0,015257    44,602608     3143,1 VERTICAL CURVE 
 3744,005133   930,848964     0,029447    67,906580     6745,8 VERTICAL CURVE 
 3811,911713   933,190411     0,039514   214,282622    -6979,6 VERTICAL CURVE 
 4026,194335   938,368101     0,008812   116,231479          - GRADE 
 4142,425814   939,392353     0,008812   148,845895    -6526,7 VERTICAL CURVE 
 4291,271709   939,006747    -0,013993   213,096518          - GRADE 
 4504,368227   936,024794    -0,013993    47,160805     1666,3 VERTICAL CURVE 
 4551,529032   936,032234     0,014309   391,742810          - GRADE 
 4943,271842   941,637663     0,014309    94,984741     5804,6 VERTICAL CURVE 
 5038,256583   943,773940     0,030673    69,860029    -2452,2 VERTICAL CURVE 
 5108,116612   944,921616     0,002184    46,857094    -6077,9 VERTICAL CURVE 
 5154,973706   944,843328    -0,005525   992,970029          - GRADE 
 6147,943735   939,356705    -0,005525   241,926101     7342,8 VERTICAL CURVE 
 6389,869836   942,005368     0,027422    72,748644    -3251,9 VERTICAL CURVE 
 6462,618480   943,186545     0,005051   293,382253          - GRADE 
 6756,000733   944,668384     0,005051    97,268224     4421,9 VERTICAL CURVE 
 6853,268957   946,229468     0,027048   159,771051          - GRADE 
 7013,040008   950,550901     0,027048    95,972000    -4317,1 VERTICAL CURVE 
 7109,012008   952,079962     0,004817   569,323660          - GRADE 
 7678,335668   954,822432     0,004817    47,796970     2703,2 VERTICAL CURVE 
 7726,132638   955,475237     0,022499   195,447258          - GRADE 
 7921,579896   959,872543     0,022499    49,869274     2606,5 VERTICAL CURVE 
 7971,449170   961,471598     0,041631   156,977989     7205,7 VERTICAL CURVE 
 8128,427159   969,716680     0,063416   345,248685    -6283,4 VERTICAL CURVE 
 8473,675844   982,126101     0,008470   805,461742          - GRADE 
 9279,137586   988,948673     0,008470   104,283837    -5834,9 VERTICAL CURVE 
 9383,421423   988,900091    -0,009402   643,740416          - GRADE 
10027,161839   982,847576    -0,009402   129,556643     3093,1 VERTICAL CURVE 
10156,718482   984,342795     0,032484   503,499669          - GRADE 
10660,218151  1000,698584     0,032484    65,433466    -2033,5 VERTICAL CURVE 
10725,651617  1001,771393     0,000307   375,968127          - GRADE 
11101,619744  1001,886670     0,000307    99,025368    -3880,7 VERTICAL CURVE 
11200,645112  1000,653606    -0,025211   155,250511    -9221,4 VERTICAL CURVE 
11355,895623   995,432748    -0,042047    53,510296          - GRADE 
11409,405919   993,182824    -0,042047    64,464450     2311,7 VERTICAL CURVE 
11473,870369   991,371165    -0,014160    53,329443     4943,9 VERTICAL CURVE 
11527,199812   990,903654    -0,003373   195,321486          - GRADE 
11722,521298   990,244827    -0,003373   103,653282    -4015,6 VERTICAL CURVE 
11826,174580   988,557432    -0,029185   170,991339          - GRADE 
----------------------------------------------------------------------------------
SE=Abscisa entrada; ZE=Cota entrada; PE=Pendiente entrada; L=Longitud; K=Parámetro 

