s,z
0,966.15
16.113,965.85
33.079,965.77
50.922,965.66
69.609,965.61
88.798,965.45
108.148,965.07
127.367,965.25
146.241,965.22
164.718,965.38
182.917,965.49
201.113,965.85
219.592,965.95
238.453,966.23
257.698,966.59
277.31,967.13
297.281,967.74
317.566,968.52
337.955,969.08
358.044,970.8
377.87,970.99
397.686,972.15
417.672,972.98
437.699,973.49
457.36,974.04
476.58,974.77
495.744,975.59
515.191,976.29
535.12,976.93
555.456,977.31
575.97,977.65
596.583,978.02
617.552,978.37
638.661,978.8
659.745,979.02
681.061,979.41
702.932,979.78
725.472,980.06
748.441,980.78
771.917,981.37
795.778,981.74
820.053,982.24
844.761,982.55
869.851,983.01
895.057,983.43
920.3,983.76
945.736,984.33
971.598,984.75
997.938,984.89
1024.723,984.92
1051.4,984.44
1077.663,984.07
1103.805,983.57
1129.89,983.27
1156.202,982.91
1182.886,982.19
1209.517,981.29
1236.226,980.97
1263.152,980.07
1289.923,979.31
1316.46,978.78
1342.739,978.38
1369.042,978.06
1395.569,977.8
1422.27,977.5
1448.914,977.59
1475.281,977.08
1501.34,977.22
1527.083,977.28
1552.65,976.72
1578.276,976.78
1604.169,976.6
1630.446,976.29
1656.903,976.15
1683.48,976
1710.227,975.47
1736.943,974.95
1763.553,974.56
1790.12,973.87
1816.75,973.43
1843.316,973.03
1869.713,972.35
1895.969,971.49
1922.248,971.51
1948.717,971.25
1975.253,970.81
2001.619,970.3
2027.876,969.68
2054.162,969.33
2080.68,968.97
2107.301,968.64
2133.818,967.94
2160.414,967.65
2187.279,967.76
2214.316,967.79
2241.169,967.46
2267.965,967.37
2294.694,967.53
2321.371,967.38
2348.042,967.85
2374.999,967.68
2402.052,967.45
2428.96,967.4
2455.614,967.1
2482.079,967.05
2508.617,967.09
2535.33,966.98
2561.912,966.74
2588.408,966.64
2615.08,966.67
2641.912,966.72
2668.873,966.31
2695.872,966.5
2723.018,966.8
2750.088,966.63
2777.017,966.45
2803.832,966.51
2830.512,966.46
2856.904,966.39
2883.11,966.65
2909.005,967.12
2934.399,967.25
2959.307,967.43
2983.858,967.9
3008.396,968.15
3032.939,968.46
3057.227,968.6
3081.415,968.79
3105.808,968.91
3130.665,968.9
3155.978,968.96
3181.791,969.05
3207.701,968.9
3233.648,968.85
3259.829,968.88
3286.448,968.94
3313.259,968.66
3340.124,968.26
3366.996,967.89
3393.61,967.66
3419.926,967.51
3446.048,967.08
3471.882,966.59
3497.448,966.29
3522.84,965.83
3548.06,965.27
3573.165,964.26
3598.315,963.3
3623.618,962.41
3648.976,961.36
3674.48,960.28
3700.058,958.06
3725.634,957.01
3751.44,955.9
3777.856,954.96
3805.061,954.11
3832.701,952.91
3860.614,951.48
3889.371,950.76
3919.425,950.24
3950.856,949.56
3983.62,949.05
4017.637,949.65
4052.197,946.54
4086.694,944.68
4120.984,943.39
4154.722,941.72
4187.726,940.5
4220.134,939.68
4252.176,938.86
4283.766,938.3
4314.94,938.21
4345.838,937.97
4376.323,937.39
4406.307,937.18
4435.988,936.99
4465.534,936.88
4495.122,936.58
4524.687,936.31
4554.028,936
4583.057,936.28
4612.102,936.19
4641.244,935.94
4670.43,935.7
4699.686,935.46
4728.899,935.32
4758.05,935.11
4787.361,935.36
4816.776,935.26
4846.158,935.07
4875.705,934.91
4905.499,934.36
4935.273,933.75
4965.065,933.33
4995.084,933.29
5025.406,932.91
5055.814,932.44
5086.08,931.67
5116.411,931.54
5146.748,931.11
5177.027,930.5
5207.41,929.88
5237.74,929.6
5268.033,929.36
5298.359,928.51
5328.488,928.21
5358.594,927.91
5388.696,927.3
5418.668,926.91
5448.55,926.87
5478.393,927.02
5508.072,926.84
5537.652,926.85
5567.244,926.98
5596.664,926.93
5625.843,926.8
5655.099,926.9
5684.541,926.38
5714.008,925.95
5743.584,925.47
5773.471,924.93
5803.496,924.3
5833.554,923.97
5863.472,923.37
5893.068,922.86
5922.298,922.52
5951.348,922.51
5980.18,922.52
6008.587,922.52
6036.3,922.47
6063.469,922.49
6090.249,922.15
6116.763,921.97
6143.244,921.83
6169.716,921.49
6196.105,920.9
