s,z
0,906.26
11.819,906.27
24.169,906.33
37.071,906.3
50.417,906.36
64.185,906.46
78.23,906.96
92.22,907.68
106.202,908.45
120.259,909.16
134.575,909.83
149.208,910.55
164.155,911.32
179.362,912.11
194.829,912.85
210.514,913.67
226.446,914.52
242.553,915.3
258.881,916.08
275.413,916.93
292.094,917.81
308.933,918.61
325.964,919.4
343.159,920.18
360.561,921.04
378.003,921.14
395.774,921.77
413.797,922.35
431.928,922.55
589.421,924.49
610.48,924.42
631.59,924.28
652.5,924.12
673.282,924.02
694.073,923.89
714.982,923.16
735.939,923.02
756.966,922.86
778.037,922.75
799.172,922.59
820.342,922.45
841.534,922.66
862.786,922.4
884.021,921.42
905.316,921.02
926.447,920.54
947.392,920.02
968.345,920.04
989.048,919.41
1009.652,918.67
1030.216,917.84
1050.737,916.97
1071.253,916.16
1091.741,915.33
1112.2,914.51
1132.612,913.74
1152.952,913
1173.331,911.92
1193.891,911.25
1214.07,910.65
1234.333,909.85
1254.673,909.03
1275.058,908.26
1295.497,907.48
1315.967,906.71
1336.415,905.89
1356.788,905.19
1376.761,904.92
1458.236,902.01
1478.117,901.52
1497.785,901.13
1517.238,900.8
1536.48,900.22
1557.029,898.4
1687.509,898.66
1706.463,898.3
1725.529,897.71
1744.795,897.12
1764.272,896.47
1783.957,895.82
1803.837,895.13
1823.914,894.47
1844.257,893.68
1864.682,893.12
1885.225,892.59
1905.809,892.19
1926.276,891.96
1946.729,891.64
1967.049,891.42
1987.212,891.26
2007.191,891.09
2027.02,890.94
2046.667,890.85
2066.121,890.72
2085.402,890.57
2104.535,890.42
2123.475,890.28
2142.26,890.15
2160.858,889.99
2179.312,889.87
2197.604,889.69
2215.788,889.51
2233.904,889.29
2252.057,888.92
2270.299,888.59
2288.666,888.16
2307.093,887.03
2325.729,886.51
2344.57,885.91
2363.608,885.23
2382.894,884.61
2402.44,883.8
2422.284,882.89
2442.439,881.94
2462.944,880.87
2483.805,879.79
2504.995,878.67
2526.515,877.58
2548.293,876.36
2570.31,875.33
2592.439,874.43
2614.578,873.6
2636.618,872.84
2658.623,872.19
2680.611,871.59
2702.516,871.1
2724.322,870.71
2745.988,870.36
2767.501,870.14
2788.823,869.94
2810.056,869.83
2831.25,869.8
2852.321,869.86
2873.252,869.95
2894.022,870.1
2914.643,870.26
2935.1,870.37
2955.404,870.48
2975.606,870.55
2995.732,870.58
3015.846,870.59
3035.93,870.53
3056.025,870.46
3076.125,870.33
