s,g
0,0
6.409,-0.0203
13.646,-0.0318
21.448,-0.0308
29.649,-0.0293
38.211,-0.0304
47.163,-0.0324
56.581,-0.0255
66.455,-0.0172
76.824,-0.0154
87.541,-0.0177
98.504,-0.0155
109.714,-0.0036
121.108,-0.0123
132.735,-0.0129
144.574,-0.0101
156.567,0.0017
168.801,-0.0335
181.101,-0.0024
193.475,-0.0024
205.9,0.0048
218.359,0.0056
230.838,0.0056
243.295,0.0193
255.886,0.0103
268.756,0.0109
281.91,0.0167
295.254,0.0172
308.755,0.0267
322.328,0.0368
336.005,0.0329
349.715,0.035
363.396,0.0387
377.108,0.0423
390.832,0.0393
404.613,0.0414
418.44,0.0405
432.436,0.0414
446.611,0.0388
460.953,0.0404
475.441,0.0421
490.051,0.039
504.793,0.0373
519.668,0.0336
534.663,0.0333
549.779,0.0331
565.012,0.0309
580.406,0.024
595.974,0.0244
611.717,0.0203
627.66,0.0207
643.827,-0.0062
660.137,0.0178
676.583,0.0395
693.228,0.0162
710.003,0.0173
726.876,0.0172
743.843,0.0159
760.872,0.02
777.981,0.017
795.133,0.0175
812.329,0.0174
829.574,0.0174
846.842,0.0162
864.143,0.0191
881.45,0.0196
898.747,0.0214
916.053,0.0081
933.379,0.0162
950.728,0.019
968.095,0.0178
985.484,0.0242
1002.928,0.0132
1020.433,0.0097
1038.077,0.0051
1055.833,0.0034
1073.758,-0.0011
1091.874,-0.0044
1110.175,-0.006
1128.675,-0.0124
1147.388,-0.0208
1166.366,-0.0184
1185.547,-0.0224
1204.943,-0.016
1224.54,-0.0276
1244.388,-0.0292
1264.4,-0.027
1284.488,-0.0234
1304.442,-0.0231
1324.236,-0.0187
1343.965,-0.0177
1363.625,-0.0158
1383.203,-0.0143
1402.718,-0.0128
1422.12,-0.0108
1441.405,-0.0078
1460.555,-0.0078
1479.546,-0.0058
1498.377,-0.0058
1517.062,-0.0048
1535.588,-0.0086
1554.004,-0.0206
1572.264,-0.0044
1590.363,-0.0066
1608.328,-0.0078
1626.181,-0.0078
1643.922,-0.0068
1661.506,0.0045
1678.988,-0.0114
1696.372,-0.0115
1713.671,-0.0116
1730.916,-0.0145
1748.094,-0.0122
1765.232,-0.0222
1782.369,-0.0163
1799.516,-0.0146
1816.86,-0.0179
1834.562,-0.0175
1852.595,-0.0166
1870.951,-0.0169
1889.636,-0.0187
1908.625,-0.0163
1927.909,-0.0156
1947.452,-0.0292
1967.182,-0.0172
1987.036,-0.0076
2007.06,-0.0165
2027.069,-0.018
2047.002,-0.0181
2066.887,-0.0176
