s,Z
0,913.24
6.409,913.11
13.646,912.88
21.448,912.64
29.649,912.4
38.211,912.14
47.163,911.85
56.581,911.61
66.455,911.44
76.824,911.28
87.541,911.09
98.504,910.92
109.714,910.88
121.108,910.74
132.735,910.59
144.574,910.47
156.567,910.49
168.801,910.08
181.101,910.05
193.475,910.02
205.9,910.08
218.359,910.15
230.838,910.22
243.295,910.46
255.886,910.59
268.756,910.73
281.91,910.95
295.254,911.18
308.755,911.54
322.328,912.04
336.005,912.49
349.715,912.97
363.396,913.5
377.108,914.08
390.832,914.62
404.613,915.19
418.44,915.75
432.436,916.33
446.611,916.88
460.953,917.46
475.441,918.07
490.051,918.64
504.793,919.19
519.668,919.69
534.663,920.19
549.779,920.69
565.012,921.16
580.406,921.53
595.974,921.91
611.717,922.23
627.66,922.56
643.827,922.46
660.137,922.75
676.583,923.4
693.228,923.67
710.003,923.96
726.876,924.25
743.843,924.52
760.872,924.86
777.981,925.15
795.133,925.45
812.329,925.75
829.574,926.05
846.842,926.33
864.143,926.66
881.45,927
898.747,927.37
916.053,927.51
933.379,927.79
950.728,928.12
968.095,928.43
985.484,928.85
1002.928,929.08
1020.433,929.25
1038.077,929.34
1055.833,929.4
1073.758,929.38
1091.874,929.3
1110.175,929.19
1128.675,928.96
1147.388,928.57
1166.366,928.22
1185.547,927.79
1204.943,927.48
1224.54,926.94
1244.388,926.36
1264.4,925.82
1284.488,925.35
1304.442,924.89
1324.236,924.52
1343.965,924.17
1363.625,923.86
1383.203,923.58
1402.718,923.33
1422.12,923.12
1441.405,922.97
1460.555,922.82
1479.546,922.71
1498.377,922.6
1517.062,922.51
1535.588,922.35
1554.004,921.97
1572.264,921.89
1590.363,921.77
1608.328,921.63
1626.181,921.49
1643.922,921.37
1661.506,921.45
1678.988,921.25
1696.372,921.05
1713.671,920.85
1730.916,920.6
1748.094,920.39
1765.232,920.01
1782.369,919.73
1799.516,919.48
1816.86,919.17
1834.562,918.86
1852.595,918.56
1870.951,918.25
1889.636,917.9
1908.625,917.59
1927.909,917.29
1947.452,916.72
1967.182,916.38
1987.036,916.23
2007.06,915.9
2027.069,915.54
2047.002,915.18
2066.887,914.83
2086.7,914.49
2106.444,914.11
2126.135,913.73
2145.756,913.41
2165.26,913.12
2184.668,912.89
2203.907,912.73
2223.11,912.63
2242.428,912.59
2261.826,912.52
2281.246,912.46
2300.639,912.43
2319.955,912.39
2339.215,912.34
2358.41,912.27
2377.551,912.24
2396.616,912.2
2415.636,912.16
2434.584,912.16
2453.443,912.18
2472.249,912.14
2490.994,912.08
2509.683,912.02
2528.334,911.98
2546.922,911.95
2565.54,911.89
2584.223,911.87
2602.988,911.79
2621.83,911.78
2640.712,911.69
2659.693,911.65
2678.747,911.55
2697.886,911.26
2717.032,911.22
2736.173,911.13
2755.283,911.11
2774.347,911.03
2793.364,911.31
2812.416,911.3
2831.418,911.28
2850.371,911.36
2869.228,911.44
2887.96,911.6
2906.578,911.77
2925.069,911.96
2943.488,912.16
2961.873,912.32
2980.24,912.55
2998.599,912.79
3016.999,913.03
3035.442,913.26
3053.936,913.48
3072.467,913.72
3091.045,913.96
3109.681,914.11
3128.431,914.21
3147.277,914.29
3166.255,914.32
3185.371,914.32
3204.643,914.29
3224.054,914.21
3243.645,914.1
3263.414,913.97
3283.351,913.86
3303.441,913.74
3323.689,913.6
3344.078,913.47
3364.564,913.27
3385.129,913.17
3405.704,913.04
3426.257,912.94
3446.557,912.82
3466.516,912.68
3486.293,912.54
3506.101,912.28
3525.97,912
3545.939,911.6
3565.968,911.2
3586.057,910.66
3606.187,910.03
3626.337,909.36
3646.473,908.64
3666.541,907.78
3686.615,906.93
3706.705,905.98
3726.809,905.04
3746.957,904.09
3767.109,903.16
3787.274,902.24
3807.453,901.29
3827.652,900.35
3847.859,899.42
3868.079,898.5
3888.318,897.54
3908.601,896.62
3928.891,895.73
3949.209,894.86
3969.536,893.98
3989.893,893.12
4010.248,892.23
4030.606,891.36
4051.086,890.45
4071.691,889.55
4092.423,888.67
4113.201,887.76
4133.977,886.91
4154.72,886.13
4175.41,885.33
4196.054,884.56
4216.614,883.95
4237.018,883.44
4257.234,883
4277.221,882.66
4297.059,882.39
4316.786,882.23
4336.472,882.13
4356.112,882.06
4375.684,881.95
4395.215,881.85
4414.717,881.71
4434.183,881.59
4453.645,881.46
4473.079,881.34
4492.499,881.23
4511.885,881.14
4531.248,881.02
4550.569,880.94
4569.839,880.86
4589.083,880.78
4608.293,880.68
4627.422,880.63
4646.502,880.55
4665.516,880.45
4684.477,880.36
4703.39,880.27
4722.254,880.18
4741.06,880.07
4759.805,880
4778.497,879.91
4797.144,879.8
4815.735,879.71
4834.293,879.61
4852.791,879.54
4871.249,879.36
4889.715,879.16
4908.181,878.97
4926.672,878.75
4945.169,878.52
4963.702,878.26
4982.283,878
5000.883,877.78
5019.525,877.5
5038.213,877.22
5056.918,876.96
5075.65,876.71
5094.391,876.47
5113.172,876.18
5131.954,875.94
5150.746,875.7
5169.557,875.44
5188.381,875.17
5207.253,874.91
5226.178,874.6
5245.076,874.51
5264.054,874.21
5283.071,874.01
5302.108,873.75
5321.166,873.46
5340.279,873.21
5359.421,872.97
5378.596,872.69
5397.81,872.41
5417.063,872.17
5436.334,871.97
5455.616,871.73
5474.892,871.63
5494.104,871.54
5513.23,871.64
5532.225,871.74
5551.067,871.84
5569.762,871.93
5588.324,872.05
5606.73,872.16
5625.006,872.23
5643.156,872.27
5661.199,872.23
5679.199,872.17
5697.152,872.05
5715.108,871.93
5733.192,871.7
5751.445,871.42
5769.9,871.11
5788.597,870.76
5807.508,870.39
5826.607,869.99
5845.838,869.65
5865.147,869.4
5884.544,869.14
5903.97,868.94
5923.41,868.82
5942.841,868.72
5962.271,868.64
5981.612,868.71
6000.855,868.76
6019.976,868.81
6038.954,868.85
6057.76,868.96
6076.444,868.81
6094.954,868.83
6113.349,868.8
6131.631,868.76
6149.841,868.67
6167.981,868.57
6186.068,868.4
6204.13,868.23
6222.167,868.04
6240.193,867.8
6258.21,867.68
6276.3,867.46
6294.623,867.21
6313.165,866.98
6331.942,866.72
6350.906,866.51
6370.071,866.24
6389.417,866
6408.925,865.84
6428.55,865.76
6448.23,865.78
6467.945,865.92
6487.608,866.13
6507.189,866.44
6526.634,866.87
6545.922,867.36
6564.998,867.86
6583.895,868.4
6602.6,868.89
6621.134,869.38
6639.49,869.94
6657.66,870.43
6675.666,870.91
6693.521,871.39
6711.259,871.85
6728.858,872.28
6746.361,872.65
6763.787,873.02
6781.15,873.33
6798.459,873.58
6815.724,873.78
6832.989,873.94
6850.28,874.07
6867.607,874.1
6885.03,874.08
6902.555,873.99
6920.221,873.85
6938.004,873.65
6955.929,873.42
6974.041,873.11
6992.367,872.74
7010.913,872.33
7029.587,871.83
7048.237,871.26
7066.813,870.63
7085.315,869.99
7103.769,869.25
7122.285,868.55
7140.807,867.87
7159.34,867.25
7177.84,866.72
7196.213,866.26
7214.513,865.85
7232.767,865.53
7250.953,865.24
7269.08,865.07
7287.353,864.92
7305.776,864.81
7324.337,864.75
7343.017,864.71
7361.805,864.62
7380.774,864.54
7399.92,864.45
7419.22,864.37
7438.681,864.3
7458.248,864.32
7477.975,864.24
7497.894,864.16
7517.969,864.12
7538.199,864.11
7558.542,864.13
7578.986,864.21
