S,z
0.00,727.000
10.00,727.350
19.90,727.706
30.53,728.089
40.43,728.455
50.33,728.822
59.55,729.172
69.45,729.548
80.08,729.963
89.30,730.322
99.30,730.712
109.30,731.102
119.30,731.502
129.30,731.912
139.30,732.332
149.59,732.765
159.03,733.152
169.03,733.542
179.32,733.933
189.32,734.293
198.76,734.613
208.76,734.923
218.76,735.203
229.05,735.461
239.05,735.681
248.27,735.856
258.90,736.026
268.12,736.137
278.75,736.232
287.97,736.288
298.60,736.320
307.82,736.329
318.64,736.307
328.64,736.257
338.07,736.182
347.92,736.073
358.22,735.919
368.06,735.742
378.26,735.528
387.75,735.300
398.19,735.028
398.19,735.028
408.39,734.753
417.44,734.500
427.44,734.210
437.49,733.908
447.49,733.608
457.54,733.296
467.59,732.965
477.64,732.623
487.84,732.256
498.04,731.879
507.53,731.518
517.72,731.131
527.21,730.761
537.65,730.343
547.85,729.935
557.34,729.546
567.53,729.128
577.97,728.710
587.46,728.340
597.66,727.953
607.15,727.611
617.59,727.256
627.78,726.940
637.00,726.682
647.44,726.421
657.64,726.207
667.13,726.036
677.57,725.890
687.77,725.788
697.25,725.722
707.69,725.680
716.91,725.671
727.35,725.681
737.55,725.712
747.04,725.759
757.48,725.832
767.68,725.914
776.90,725.997
787.34,726.091
797.54,726.183
807.02,726.268
817.22,726.350
827.42,726.421
836.91,726.478
847.10,726.519
857.30,726.539
866.52,726.530
876.72,726.499
887.16,726.437
897.21,726.356
906.43,726.255
916.63,726.112
926.82,725.939
937.02,725.735
947.07,725.503
956.29,725.273
966.49,724.987
976.54,724.686
986.74,724.370
996.94,724.043
1006.99,723.722
1016.04,723.441
1026.24,723.125
1036.29,722.824
1046.49,722.538
1056.69,722.273
1066.74,722.032
1076.79,721.811
1086.98,721.607
1096.20,721.450
1106.25,721.299
1116.30,721.158
1126.50,721.036
1136.55,720.925
1146.75,720.823
1155.80,720.742
1166.00,720.660
1176.05,720.580
1186.25,720.509
1196.30,720.458
1206.50,720.418
1216.55,720.397
1225.77,720.388
1235.97,720.378
1246.01,720.358
1256.06,720.318
1266.26,720.257
1276.46,720.175
1285.52,720.075
1295.71,719.943
1305.91,719.790
1316.11,719.616
1326.31,719.433
1335.53,719.249
1345.73,719.024
1355.78,718.793
1365.97,718.548
1375.19,718.327
1385.63,718.087
1395.83,717.863
1406.03,717.648
1415.25,717.464
1425.45,717.270
1435.65,717.087
1445.84,716.913
1456.04,716.760
1465.26,716.631
1475.46,716.509
1485.51,716.408
1495.71,716.317
1505.76,716.236
1514.98,716.172
1525.03,716.101
1535.08,716.021
1545.13,715.940
1555.18,715.850
1565.18,715.760
1575.23,715.670
1585.23,715.580
1595.28,715.489
1605.33,715.409
1615.38,715.338
1625.38,715.288
1635.43,715.258
1644.48,715.249
1654.53,715.249
1664.58,715.259
1674.58,715.279
1684.63,715.299
1694.68,715.329
1704.88,715.360
1715.08,715.380
1724.56,715.390
1735.00,715.390
1744.85,715.380
1754.70,715.360
1764.55,715.341
1774.55,715.311
1784.55,715.281
1794.55,715.251
1804.45,715.231
1814.35,715.211
1824.98,715.200
1834.20,715.200
1844.20,715.210
1854.49,715.231
1864.79,715.262
1873.73,715.289
1884.03,715.330
1894.33,715.381
1904.17,715.441
1914.47,715.513
1924.47,715.593
1933.90,715.687
1943.90,715.807
1953.90,715.947
1963.90,716.107
1973.80,716.285
1983.70,716.483
1994.33,716.706
2004.33,716.926
2014.33,717.156
2023.77,717.373
2034.06,717.600
2043.91,717.817
2054.21,718.033
2063.69,718.232
2073.54,718.439
2083.74,718.643
2094.18,718.852
2104.38,719.045
2113.60,719.211
2123.65,719.382
2133.65,719.542
2143.65,719.682
2153.65,719.812
2163.65,719.922
2173.70,720.023
2183.70,720.113
2193.70,720.193
2203.75,720.253
2213.75,720.303
2223.80,720.343
2233.85,720.373
2243.85,720.403
2253.85,720.433
2263.90,720.463
2273.90,720.493
2282.90,720.520
2292.90,720.550
2302.95,720.571
2312.95,720.581
2322.95,720.591
2332.95,720.601
2342.95,720.621
2353.15,720.651
2363.20,720.701
2373.25,720.782
2383.44,720.884
2392.66,721.004
2403.10,721.160
2413.30,721.334
2422.79,721.514
2433.56,721.729
2443.05,721.928
2452.89,722.145
2463.19,722.382
2473.04,722.618
2482.47,722.864
2492.77,723.152
2503.06,723.461
