S,g
0.000,0.050
9.487,0.050
19.927,0.050
29.776,0.050
39.263,0.051
50.033,0.051
59.520,0.051
69.369,0.051
80.139,0.052
89.988,0.053
99.475,0.053
109.324,0.052
119.620,0.051
129.916,0.051
139.350,0.051
149.350,0.052
159.350,0.052
169.350,0.050
179.980,0.047
189.200,0.044
199.099,0.042
208.998,0.043
218.897,0.044
229.527,0.046
239.426,0.048
249.426,0.050
259.325,0.051
269.325,0.050
279.224,0.048
289.123,0.047
299.753,0.047
308.973,0.049
319.603,0.052
329.502,0.054
339.502,0.056
349.502,0.058
359.502,0.059
368.936,0.058
379.232,0.057
388.666,0.057
398.962,0.058
409.258,0.059
418.692,0.059
429.509,0.058
438.943,0.056
449.239,0.053
459.535,0.052
468.969,0.051
479.265,0.051
489.561,0.051
498.995,0.052
509.291,0.052
518.725,0.051
529.021,0.049
539.021,0.046
549.317,0.043
559.317,0.040
569.317,0.038
579.317,0.037
589.317,0.037
599.317,0.038
608.537,0.040
619.167,0.042
628.387,0.043
639.017,0.044
649.017,0.044
659.017,0.043
669.017,0.041
679.017,0.039
689.017,0.039
699.017,0.038
708.451,0.039
718.747,0.039
728.181,0.039
738.477,0.039
749.294,0.040
758.728,0.042
768.577,0.044
778.873,0.045
789.169,0.046
798.603,0.045
808.452,0.042
818.748,0.039
829.044,0.036
838.478,0.035
848.774,0.036
858.208,0.038
868.504,0.042
878.353,0.045
888.649,0.045
898.945,0.044
908.379,0.044
918.675,0.046
928.971,0.048
938.405,0.050
948.254,0.051
958.550,0.053
968.550,0.055
978.846,0.056
988.280,0.057
998.576,0.059
1008.010,0.061
1018.827,0.061
1028.261,0.059
1038.261,0.056
1048.557,0.052
1058.557,0.049
1068.557,0.046
1078.557,0.044
1088.456,0.042
1098.456,0.041
1108.456,0.041
1119.086,0.043
1128.306,0.045
1138.936,0.045
1148.156,0.046
1158.786,0.046
1168.685,0.047
1178.584,0.046
1188.483,0.045
1198.382,0.045
1208.281,0.045
1218.180,0.045
1228.079,0.045
1237.978,0.044
1247.877,0.044
1257.776,0.044
1267.675,0.045
1278.305,0.047
1288.204,0.049
1298.103,0.049
1308.002,0.049
1317.901,0.050
1328.531,0.050
1338.430,0.050
1348.329,0.050
1358.228,0.049
1368.127,0.049
1378.026,0.050
1387.925,0.051
1397.824,0.051
1407.723,0.051
1417.622,0.052
1428.252,0.052
1438.151,0.053
1448.050,0.052
1457.270,0.050
1467.169,0.046
1477.799,0.042
1487.698,0.037
1498.328,0.032
1508.227,0.027
1517.447,0.023
1528.077,0.020
1537.976,0.017
1547.875,0.014
1557.774,0.009
1567.673,0.005
1577.572,0.000
1588.202,-0.003
1597.422,-0.005
1607.321,-0.007
1617.220,-0.010
1627.850,-0.014
1637.749,-0.017
1647.648,-0.021
1657.648,-0.025
1667.547,-0.029
1677.446,-0.033
1687.345,-0.036
1697.975,-0.039
1707.874,-0.041
1717.773,-0.043
1727.672,-0.045
1737.571,-0.046
1747.470,-0.047
1757.369,-0.047
1767.268,-0.047
1777.167,-0.047
1787.797,-0.049
1797.696,-0.053
1806.916,-0.056
1817.546,-0.057
1827.445,-0.057
1836.665,-0.056
1847.295,-0.056
1857.194,-0.055
1867.194,-0.055
1877.093,-0.055
1886.992,-0.055
1896.891,-0.055
1907.521,-0.055
1917.420,-0.055
1927.319,-0.054
1937.319,-0.053
1947.218,-0.053
1957.117,-0.053
1967.747,-0.053
1977.646,-0.051
1986.866,-0.049
1996.765,-0.045
2007.395,-0.040
2017.294,-0.032
2027.193,-0.023
2037.092,-0.016
2047.722,-0.010
2056.942,-0.007
2066.841,-0.006
2077.471,-0.006
2087.370,-0.006
2096.590,-0.006
2106.489,-0.004
2117.119,0.000
2127.018,0.005
2136.917,0.011
2147.547,0.018
2156.767,0.024
2166.666,0.028
2177.296,0.030
2187.195,0.031
2197.094,0.032
2206.993,0.031
2216.993,0.030
2226.892,0.029
2236.791,0.029
2246.690,0.031
2257.320,0.034
2266.540,0.035
2276.439,0.035
2287.069,0.034
2296.968,0.035
2306.867,0.037
2316.766,0.038
2327.396,0.037
2336.616,0.036
2346.515,0.034
2357.145,0.033
2366.365,0.033
2376.264,0.033
2386.163,0.033
2396.062,0.032
2406.692,0.032
2416.591,0.033
2427.221,0.035
2436.441,0.037
2446.340,0.038
2456.239,0.039
2466.869,0.038
2476.768,0.037
2486.667,0.035
2496.566,0.033
2506.465,0.032
2516.465,0.032
2526.364,0.034
2536.364,0.035
2546.263,0.036
2556.162,0.037
2566.792,0.038
2576.691,0.038
2585.911,0.038
2596.541,0.038
2606.541,0.037
2615.761,0.038
2625.761,0.041
2636.578,0.044
2646.578,0.047
2656.427,0.047
2666.723,0.046
2675.667,0.044
2686.437,0.041
2696.286,0.039
2705.773,0.038
2716.543,0.036
2726.030,0.035
2735.879,0.034
2746.319,0.035
2755.806,0.036
2766.576,0.037
2775.796,0.038
2786.566,0.038
2796.053,0.037
2805.902,0.036
2816.342,0.036
2825.829,0.035
2836.599,0.035
2846.086,0.034
2855.935,0.033
2865.784,0.032
2875.633,0.032
2885.482,0.034
2895.778,0.036
2906.074,0.038
2916.074,0.040
2925.508,0.042
2935.508,0.044
2946.138,0.045
2956.037,0.046
2965.936,0.047
2975.835,0.047
2985.734,0.047
2995.633,0.046
3005.633,0.046
3015.532,0.046
3026.162,0.046
3036.061,0.046
3045.960,0.044
3055.180,0.041
3065.810,0.039
3075.810,0.038
3085.810,0.038
3095.244,0.040
3105.540,0.041
3115.836,0.042
3126.132,0.042
3135.619,0.041
3145.468,0.039
3155.317,0.035
3165.757,0.032
3175.244,0.031
3186.014,0.031
3195.501,0.031
3205.350,0.031
3215.199,0.030
3225.048,0.029
3235.818,0.030
3245.667,0.031
3255.667,0.033
3265.101,0.034
3275.918,0.035
3285.138,0.035
3295.138,0.035
3305.768,0.035
3315.667,0.035
3325.566,0.034
3335.465,0.034
3345.465,0.033
3355.465,0.033
3364.899,0.032
3375.716,0.030
3385.150,0.028
3395.446,0.026
3405.295,0.023
3415.591,0.020
3425.078,0.016
3435.518,0.009
3445.005,0.002
3455.445,-0.007
3465.643,-0.015
3474.698,-0.022
3484.896,-0.027
3494.946,-0.030
3504.996,-0.032
3514.996,-0.033
3525.046,-0.033
3535.096,-0.033
3545.146,-0.033
3555.196,-0.032
3565.246,-0.031
3575.296,-0.029
3585.346,-0.027
3595.396,-0.024
3604.616,-0.020
3614.666,-0.018
3624.716,-0.019
3634.766,-0.022
3644.964,-0.024
3655.162,-0.025
3665.360,-0.024
3674.580,-0.022
3685.020,-0.021
3694.507,-0.022
3704.947,-0.027
3714.796,-0.032
3725.092,-0.035
3735.388,-0.036
3744.332,-0.036
3755.149,-0.037
3765.149,-0.038
3775.149,-0.037
3784.369,-0.035
3794.999,-0.032
3804.898,-0.029
3814.797,-0.027
3824.696,-0.027
3834.595,-0.026
3844.595,-0.027
3854.029,-0.028
3864.846,-0.029
3874.280,-0.030
3884.280,-0.030
3894.576,-0.029
3904.872,-0.028
3914.306,-0.027
3924.602,-0.026
3934.036,-0.025
3944.853,-0.025
3954.287,-0.024
3964.583,-0.024
3974.017,-0.023
3984.834,-0.024
3994.268,-0.025
4004.564,-0.025
4014.860,-0.026
4024.294,-0.026
4034.590,-0.027
4044.024,-0.028
4054.841,-0.029
4063.785,-0.030
4074.081,-0.031
4084.081,-0.031
4094.377,-0.029
4104.377,-0.027
4114.226,-0.026
4124.522,-0.026
4133.956,-0.026
4144.773,-0.026
4154.207,-0.026
4164.503,-0.025
4173.937,-0.024
4184.233,-0.024
4194.529,-0.025
4203.963,-0.026
4214.780,-0.025
4224.214,-0.024
4233.648,-0.024
4243.944,-0.024
4254.240,-0.023
4264.240,-0.022
4274.536,-0.019
4283.970,-0.017
4294.266,-0.014
4303.700,-0.012
4313.996,-0.012
4323.996,-0.012
4334.292,-0.013
4343.726,-0.014
4354.022,-0.015
4364.022,-0.015
4374.318,-0.014
4383.752,-0.013
4394.048,-0.012
4404.344,-0.012
4413.778,-0.011
4424.074,-0.010
4434.370,-0.010
4443.804,-0.009
4453.804,-0.008
4464.100,-0.006
4473.534,-0.006
4484.351,-0.006
4494.351,-0.004
4503.785,-0.002
4513.785,0.000
4524.415,0.004
4534.314,0.008
4544.213,0.011
4554.112,0.012
4564.011,0.011
4574.011,0.011
4584.011,0.010
4593.231,0.009
4603.861,0.008
4613.861,0.006
4623.861,0.003
4633.861,0.000
4643.861,-0.003
4653.295,-0.007
4664.112,-0.009
4673.546,-0.012
4683.395,-0.015
4693.691,-0.018
4703.540,-0.019
4713.389,-0.020
4723.829,-0.023
4733.316,-0.025
4743.756,-0.026
4753.954,-0.024
4763.174,-0.022
4773.372,-0.021
4783.570,-0.023
4793.768,-0.023
4802.988,-0.022
4813.186,-0.020
4823.236,-0.018
4833.434,-0.019
4843.632,-0.021
4853.830,-0.024
4862.885,-0.026
4873.083,-0.026
4883.281,-0.025
4893.331,-0.024
4903.529,-0.024
4913.727,-0.023
4922.947,-0.023
4933.145,-0.022
4943.343,-0.021
4953.393,-0.020
4963.591,-0.019
4973.789,-0.020
4982.844,-0.020
4993.042,-0.021
5003.482,-0.021
5013.532,-0.023
5023.730,-0.025
5032.950,-0.027
5043.148,-0.029
5053.588,-0.031
5063.075,-0.034
5072.924,-0.036
5083.364,-0.036
5093.213,-0.036
5103.509,-0.035
5113.358,-0.034
5123.654,-0.034
5133.503,-0.034
5143.799,-0.034
5153.648,-0.034
5163.497,-0.034
5173.346,-0.034
5183.642,-0.034
