S,z
0,765.000
9.487,765.474
19.927,765.996
29.776,766.489
39.263,766.973
50.033,767.522
59.52,768.006
69.369,768.508
80.139,769.068
89.988,769.590
99.475,770.093
109.324,770.605
119.62,771.130
129.916,771.655
139.35,772.136
149.35,772.656
159.35,773.176
169.35,773.676
179.98,774.176
189.2,774.582
199.099,774.997
208.998,775.423
218.897,775.859
229.527,776.348
239.426,776.823
249.426,777.323
259.325,777.828
269.325,778.328
279.224,778.803
289.123,779.268
299.753,779.768
308.973,780.219
319.603,780.772
329.502,781.307
339.502,781.867
349.502,782.447
359.502,783.037
368.936,783.584
379.232,784.171
388.666,784.708
398.962,785.306
409.258,785.913
418.692,786.470
429.509,787.097
438.943,787.625
449.239,788.171
459.535,788.706
468.969,789.188
479.265,789.713
489.561,790.238
498.995,790.728
509.291,791.264
518.725,791.745
529.021,792.249
539.021,792.709
549.317,793.152
559.317,793.552
569.317,793.932
579.317,794.302
589.317,794.672
599.317,795.052
608.537,795.421
619.167,795.867
628.387,796.264
639.017,796.732
649.017,797.172
659.017,797.602
669.017,798.012
679.017,798.402
689.017,798.792
699.017,799.172
708.451,799.540
718.747,799.941
728.181,800.309
738.477,800.711
749.294,801.143
758.728,801.539
768.577,801.973
778.873,802.436
789.169,802.910
798.603,803.334
808.452,803.748
818.748,804.149
829.044,804.520
838.478,804.850
848.774,805.221
858.208,805.579
868.504,806.012
878.353,806.455
888.649,806.918
898.945,807.371
908.379,807.787
918.675,808.260
928.971,808.754
938.405,809.226
948.254,809.728
958.55,810.274
968.55,810.824
978.846,811.401
988.28,811.938
998.576,812.546
1008.01,813.121
1018.827,813.781
1028.261,814.338
1038.261,814.898
1048.557,815.433
1058.557,815.923
1068.557,816.383
1078.557,816.823
1088.456,817.239
1098.456,817.649
1108.456,818.059
1119.086,818.516
1128.306,818.931
1138.936,819.409
1148.156,819.833
1158.786,820.322
1168.685,820.788
1178.584,821.243
1188.483,821.688
1198.382,822.134
1208.281,822.579
1218.18,823.025
1228.079,823.470
1237.978,823.906
1247.877,824.341
1257.776,824.777
1267.675,825.222
1278.305,825.722
1288.204,826.207
1298.103,826.692
1308.002,827.177
1317.901,827.672
1328.531,828.204
1338.43,828.698
1348.329,829.193
1358.228,829.678
1368.127,830.164
1378.026,830.658
1387.925,831.163
1397.824,831.668
1407.723,832.173
1417.622,832.688
1428.252,833.241
1438.151,833.765
1448.05,834.280
1457.27,834.741
1467.169,835.196
1477.799,835.643
1487.698,836.009
1498.328,836.349
1508.227,836.616
1517.447,836.829
1528.077,837.041
1537.976,837.209
1547.875,837.348
1557.774,837.437
1567.673,837.487
1577.572,837.487
1588.202,837.455
1597.422,837.409
1607.321,837.339
1617.22,837.240
1627.85,837.091
1637.749,836.923
1647.648,836.715
1657.648,836.465
1667.547,836.178
