s,g
170.517,0.034
176.512,0.1631
181.495,-0.5336
187.689,-0.0184
190.094,-0.106
191.106,0.1057
191.459,0.0227
191.552,-1.4516
192.113,-1.3868
192.505,1.9031
192.898,-0.2341
193.558,-0.2333
193.661,-3.9223
194.274,2.1843
194.658,-2.6198
194.828,2.5471
195.021,0.6062
201.808,-0.0995
206.635,-0.1278
242.808,-0.0786
252.151,-0.0635
261.349,-0.0167
270.931,-0.0817
279.949,0.0211
289.104,-0.0362
297.913,-0.1538
306.744,0.0387
315.249,-0.0977
323.36,0.0157
331.5,-0.1355
338.701,-0.0525
346.239,0.0432
353.56,0.3347
361.02,-0.1051
369.069,-0.0764
377.513,-0.183
386.424,0.0572
395.537,-0.1175
404.721,-0.1896
414.355,0.0593
423.38,-0.1253
431.859,-0.0564
439.838,-0.0311
447.716,0.0453
455.845,-0.2403
463.865,-0.1569
472.488,-0.0996
481.165,-0.0663
490.137,-0.0951
499.693,-0.0817
509.528,-0.1288
519.875,-0.1102
530.34,-0.0241
541.309,-0.072
552.306,-0.1265
563.752,-0.0592
574.533,-0.1007
584.729,-0.0426
594.153,-0.1132
603.536,-0.0449
612.886,-0.1034
622.799,-0.0904
632.986,-0.1132
644.187,-0.0972
655.138,-0.0295
667.025,-0.0998
678.586,-0.0897
690.693,0.0192
702.848,-0.169
715.129,-0.0696
727.527,-0.0294
740.045,-0.0526
752.323,-0.0612
765.027,-0.0357
777.142,-0.0357
789.65,-0.0306
802.183,-0.07
814.466,-0.0481
826.79,-0.0979
839.369,-0.0175
851.961,-0.0301
864.411,-0.1218
876.65,-0.0051
888.093,-0.0783
899.101,0.0051
910.123,-0.0477
920.945,-0.0742
932.205,-0.1405
944.098,-0.0382
956.102,-0.132
968.233,-0.0262
979.617,-0.0793
991.549,-0.0472
1003.465,-0.0146
1015.651,-0.1893
1028.131,-0.0433
1041.006,0.0185
1053.902,-0.1004
1066.22,-0.1766
1078.531,-0.0641
1091.276,-0.0817
1103.413,-0.0681
1115.399,-0.0758
1127.2,-0.0395
1138.746,-0.0676
1150.223,-0.0185
1161.527,-0.0113
1172.648,-0.0251
1183.442,-0.0681
1193.297,0.0269
1202.285,-0.1627
1211.439,-0.1935
1221.519,-0.0542
1232.054,-0.0183
1243.239,-0.0856
1254.823,-0.1438
1266.606,-0.1254
1278.173,-0.0188
1289.255,-0.175
1299.998,0.0537
1311.239,-0.1795
1322.368,-0.0838
1334.118,-0.063
1345.692,-0.0697
1357.955,-0.053
1370.053,-0.0667
1382.476,0.0065
1394.938,-0.0132
1407.569,-0.0355
1420.096,-0.0263
1432.303,0.0405
1444.422,-0.0696
1469.304,0.0054
1481.902,-0.0771
1494.591,0.0668
1507.221,0.0164
1520.336,-0.0853
1532.949,-0.0186
1546.019,-0.0172
1558.544,-0.032
1571.247,-0.0345
1583.413,0.055
1595.77,-0.0157
1607.918,0.0326
1620.152,-0.019
1632.556,0.008
1644.789,-0.0419
1657.237,0.0601
1669.679,-0.069
1694.357,0.0477
1706.882,0.0177
1718.973,-0.0539
1731.505,-0.0061
1744.123,-0.0409
1756.743,0.0678
1769.292,-0.0347
1782.085,-0.0033
1794.662,0.0128
1807.648,-0.0231
1820.291,-0.0961
1833.21,0.0208
1845.638,-0.0668
1857.786,0.1117
1870.251,-0.0308
1882.405,-0.065
1894.967,-0.0303
1907.01,-0.0225
1919.036,-0.0676
1931.845,-0.0208
1944.28,-0.0806
1956.419,-0.0343
1968.465,0.009
1980.055,0.023
1991.857,-0.0477
2003.942,-0.167
2015.744,-0.0789
2027.903,-0.094
2040.69,-0.0459
2052.788,-0.0888
2064.385,-0.0378
2075.541,-0.0902
2086.614,0.0029
2097.778,-0.159
2108.396,0.0482
2120.061,-0.0408
2131.221,-0.0946
2142.99,-0.0599
2155.313,-0.0406
2166.709,-0.0839
2178.306,-0.0291
2189.436,-0.0128
2199.41,0.0145
2209.672,0.0271
2219.743,-0.101
2229.537,0.151
2239.181,0.0803
2249.677,0.0293
2260.773,-0.0091
2271.861,0.0304
2282.991,-0.0544
2294.785,0.0014
2307.062,-0.0406
2319.513,0.0251
2332.188,-0.0443
2344.414,0.0121
2356.365,0.0408
2367.91,-0.0271
2379.557,0.0867
2391.298,-0.0545
2402.99,-0.0339
2415.23,-0.1535
2427.974,0.0595
2440.572,0.0179
2453.275,-0.0464
2465.645,0.0026
2490.345,0.0162
2502.464,-0.0255
2514.305,-0.0066
2526.099,0.0154
2538.088,0.0071
2550.05,0.0308
2562.059,0.0883
2574.395,-0.0999
2586.489,0.0058
2598.692,0.052
2611.283,0.0279
2624.073,-0.0244
2636.353,-0.0389
2649.148,0.0142
2661.461,-0.0066
2673.404,0.0119
2697.61,0.0462
2709.809,-0.0707
2722.113,0.0726
2734.469,0.025
2746.634,-0.0304
2758.797,-0.0154
2770.876,-0.0204
2782.477,-0.0442
2794.124,-0.0031
