s,z
170.517,1160.221
176.512,1161.199
181.495,1158.54
187.689,1158.426
190.094,1158.171
191.106,1158.278
191.459,1158.286
191.552,1158.151
192.113,1157.373
192.505,1158.119
192.898,1158.027
193.558,1157.873
193.661,1157.469
194.274,1158.808
194.658,1157.802
194.828,1158.235
195.021,1158.352
201.808,1157.677
206.635,1157.06
242.808,1154.218
252.151,1153.625
261.349,1153.471
270.931,1152.688
279.949,1152.878
289.104,1152.547
297.913,1151.192
306.744,1151.534
315.249,1150.703
323.36,1150.83
331.5,1149.727
338.701,1149.349
346.239,1149.675
353.56,1152.125
361.02,1151.341
369.069,1150.726
377.513,1149.181
386.424,1149.691
395.537,1148.62
404.721,1146.879
414.355,1147.45
423.38,1146.319
431.859,1145.841
439.838,1145.593
447.716,1145.95
455.845,1143.997
463.865,1142.739
472.488,1141.88
481.165,1141.305
490.137,1140.452
499.693,1139.671
509.528,1138.404
519.875,1137.264
530.34,1137.012
541.309,1136.222
552.306,1134.831
563.752,1134.153
574.533,1133.067
584.729,1132.633
594.153,1131.566
603.536,1131.145
612.886,1130.178
622.799,1129.282
632.986,1128.129
644.187,1127.04
655.138,1126.717
667.025,1125.531
678.586,1124.494
690.693,1124.727
702.848,1122.673
715.129,1121.818
727.527,1121.454
740.045,1120.796
752.323,1120.044
765.027,1119.591
777.142,1119.159
789.65,1118.776
802.183,1117.899
814.466,1117.308
826.79,1116.102
839.369,1115.882
851.961,1115.503
864.411,1113.986
876.65,1113.924
888.093,1113.028
899.101,1113.084
910.123,1112.558
920.945,1111.755
932.205,1110.173
944.098,1109.719
956.102,1108.134
968.233,1107.816
979.617,1106.913
991.549,1106.35
1003.465,1106.176
1015.651,1103.869
1028.131,1103.328
1041.006,1103.566
1053.902,1102.271
1066.22,1100.096
1078.531,1099.307
1091.276,1098.266
1103.413,1097.44
1115.399,1096.531
1127.2,1096.065
1138.746,1095.284
1150.223,1095.072
1161.527,1094.944
1172.648,1094.665
1183.442,1093.93
1193.297,1094.195
1202.285,1092.733
1211.439,1090.962
1221.519,1090.416
1232.054,1090.223
1243.239,1089.266
1254.823,1087.6
1266.606,1086.123
1278.173,1085.905
1289.255,1083.966
1299.998,1084.543
1311.239,1082.525
1322.368,1081.592
1334.118,1080.852
1345.692,1080.045
1357.955,1079.395
1370.053,1078.588
1382.476,1078.669
1394.938,1078.504
1407.569,1078.055
1420.096,1077.725
1432.303,1078.219
1444.422,1077.375
1469.304,1077.509
1481.902,1076.538
1494.591,1077.386
1507.221,1077.593
1520.336,1076.474
1532.949,1076.24
1546.019,1076.015
1558.544,1075.614
1571.247,1075.176
1583.413,1075.845
1595.77,1075.651
1607.918,1076.047
1620.152,1075.814
1632.556,1075.913
1644.789,1075.4
1657.237,1076.148
1669.679,1075.29
1694.357,1076.468
1706.882,1076.69
1718.973,1076.038
1731.505,1075.962
1744.123,1075.446
1756.743,1076.302
1769.292,1075.867
1782.085,1075.825
1794.662,1075.986
1807.648,1075.686
1820.291,1074.471
1833.21,1074.74
1845.638,1073.91
1857.786,1075.267
1870.251,1074.883
1882.405,1074.093
1894.967,1073.712
1907.01,1073.441
1919.036,1072.628
1931.845,1072.361
1944.28,1071.359
1956.419,1070.943
1968.465,1071.051
1980.055,1071.318
1991.857,1070.755
2003.942,1068.737
2015.744,1067.806
2027.903,1066.663
2040.69,1066.076
2052.788,1065.002
2064.385,1064.564
2075.541,1063.558
2086.614,1063.59
2097.778,1061.815
2108.396,1062.327
2120.061,1061.851
2131.221,1060.795
2142.99,1060.09
2155.313,1059.59
2166.709,1058.634
2178.306,1058.297
2189.436,1058.155
2199.41,1058.3
2209.672,1058.578
2219.743,1057.561
2229.537,1059.04
2239.181,1059.814
2249.677,1060.122
2260.773,1060.021
2271.861,1060.358
2282.991,1059.753
2294.785,1059.769
2307.062,1059.27
2319.513,1059.582
2332.188,1059.021
2344.414,1059.169
2356.365,1059.657
2367.91,1059.344
2379.557,1060.354
2391.298,1059.714
2402.99,1059.318
2415.23,1057.439
2427.974,1058.197
2440.572,1058.422
2453.275,1057.833
2465.645,1057.865
2490.345,1058.265
2502.464,1057.956
2514.305,1057.878
2526.099,1058.06
2538.088,1058.145
2550.05,1058.513
2562.059,1059.573
2574.395,1058.341
2586.489,1058.411
2598.692,1059.045
2611.283,1059.396
2624.073,1059.084
2636.353,1058.606
2649.148,1058.788
2661.461,1058.707
2673.404,1058.849
2697.61,1059.967
2709.809,1059.105
2722.113,1059.998
2734.469,1060.307
2746.634,1059.937
2758.797,1059.75
2770.876,1059.504
2782.477,1058.991
2794.124,1058.955
2806.122,1057.64
2817.717,1057.828
2829.335,1057.098
2841.261,1057.63
2899.348,1059.799
2911.235,1060.181
2923.144,1060.615
2935.149,1060.858
2947.563,1061.053
2960.094,1060.307
2972.813,1060.585
2985.796,1061.405
2998.984,1060.521
3011.604,1060.202
3024.347,1061.358
3037.003,1061.014
3049.299,1061.137
3061.813,1061.558
3073.939,1061.861
3085.633,1062.233
3097.831,1063.673
3109.425,1063.295
3121.413,1065.205
3133.427,1064.615
3144.597,1064.008
3156.335,1064.526
3167.564,1063.495
3178.11,1063.601
3187.926,1062.081
3196.944,1061.674
3237.695,1059.658
3249.221,1058.724
3260.823,1058.197
3272.439,1057.856
3284.482,1057.728
3296.782,1056.64
3308.983,1056.619
3321.082,1056.404
3333.478,1055.461
3345.975,1055.511
3358.349,1055.839
3370.814,1056.364
3383.539,1055.08
3396.077,1054.717
3408.826,1054.409
3420.881,1055.236
3445.907,1055.173
3458.621,1053.711
3470.817,1053.816
3482.985,1054.659
3495.048,1054.189
3506.918,1053.783
3531.414,1053.929
3543.053,1054.127
3555.384,1052.977
3566.988,1053.71
